index,County,Precinct,Registered Voters,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_Choice Total,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_Choice Total,Total,
0,Lamar,Barnesville,2546,111,286,100,0,497,168,433,354,0,955,1452,
1,Lamar,Chappell Mill V FD,1577,306,567,102,1,976,27,78,92,0,197,1173,
2,Lamar,Senior Citizen Bldg,1337,128,357,84,1,570,69,136,98,0,303,873,
3,Lamar,Redbone,623,188,160,44,0,392,14,29,28,0,71,463,
4,Lamar,L C S C,2808,332,1018,211,4,1565,62,197,148,1,408,1973,
5,Lamar,Milner,3948,685,1385,297,1,2368,106,228,143,1,478,2846,
