index,County,Precinct,Registered Voters,Caleb Tyson (I) (Rep)_Election Day Votes,Caleb Tyson (I) (Rep)_Advanced Voting Votes,Caleb Tyson (I) (Rep)_Absentee by Mail Votes,Caleb Tyson (I) (Rep)_Provisional Votes,Caleb Tyson (I) (Rep)_Choice Total,Total,
0,Lamar,Barnesville,2546,220,512,268,0,1000,1000,
1,Lamar,Chappell Mill V FD,1577,329,622,151,1,1103,1103,
2,Lamar,Senior Citizen Bldg,1337,168,433,142,1,744,744,
3,Lamar,Redbone,623,193,170,55,0,418,418,
4,Lamar,L C S C,2808,365,1129,282,5,1781,1781,
5,Lamar,Milner,3948,746,1491,354,1,2592,2592,
