index,County,Precinct,Registered Voters,Beth Camp (Rep)_Election Day Votes,Beth Camp (Rep)_Advanced Voting Votes,Beth Camp (Rep)_Absentee by Mail Votes,Beth Camp (Rep)_Provisional Votes,Beth Camp (Rep)_Choice Total,Chris Benton (Dem)_Election Day Votes,Chris Benton (Dem)_Advanced Voting Votes,Chris Benton (Dem)_Absentee by Mail Votes,Chris Benton (Dem)_Provisional Votes,Chris Benton (Dem)_Choice Total,Total,
0,Lamar,Barnesville,2546,109,285,91,0,485,174,450,367,0,991,1476,
1,Lamar,Redbone,623,187,159,41,0,387,19,29,30,0,78,465,
2,Lamar,L C S C,2808,334,1018,214,5,1571,65,212,154,1,432,2003,
