index,County,Precinct,Registered Voters,"James """"Clay"""" Tillery (Rep)_Election Day Votes","James """"Clay"""" Tillery (Rep)_Advanced Voting Votes","James """"Clay"""" Tillery (Rep)_Absentee by Mail Votes","James """"Clay"""" Tillery (Rep)_Provisional Votes","James """"Clay"""" Tillery (Rep)_Choice Total",Jim F. Smith (I) (Dem)_Election Day Votes,Jim F. Smith (I) (Dem)_Advanced Voting Votes,Jim F. Smith (I) (Dem)_Absentee by Mail Votes,Jim F. Smith (I) (Dem)_Provisional Votes,Jim F. Smith (I) (Dem)_Choice Total,Total,
0,Lamar,Barnesville,2546,103,264,92,0,459,181,464,367,0,1012,1471,
1,Lamar,Chappell Mill V FD,1577,291,525,95,1,912,46,125,101,0,272,1184,
2,Lamar,Senior Citizen Bldg,1337,113,316,65,1,495,86,187,115,0,388,883,
3,Lamar,Redbone,623,162,145,38,0,345,43,44,34,0,121,466,
4,Lamar,L C S C,2808,291,896,160,4,1351,104,338,210,2,654,2005,
5,Lamar,Milner,3948,640,1281,258,1,2180,158,346,185,1,690,2870,
