index,County,Precinct,Registered Voters,Jonathan L. Adams (I) (Rep)_Election Day Votes,Jonathan L. Adams (I) (Rep)_Advanced Voting Votes,Jonathan L. Adams (I) (Rep)_Absentee by Mail Votes,Jonathan L. Adams (I) (Rep)_Provisional Votes,Jonathan L. Adams (I) (Rep)_Choice Total,Total,
0,Lamar,Barnesville,2546,222,521,274,0,1017,1017,
1,Lamar,Chappell Mill V FD,1577,329,616,151,1,1097,1097,
2,Lamar,Senior Citizen Bldg,1337,166,432,140,1,739,739,
3,Lamar,Redbone,623,197,166,58,0,421,421,
4,Lamar,L C S C,2808,365,1134,286,4,1789,1789,
5,Lamar,Milner,3948,742,1487,358,1,2588,2588,
