Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Choice Total,Total
88,64,54,85.0,1807.0,41.0,23.0,7.0,11.0,2030.0,1051.0,25.0,8159.0
42,36,53,56.0,946.0,15.0,10.0,6.0,8.0,63.0,406.0,23.0,2995.0
39,86,35,49.0,1547.0,12.0,12.0,3.0,7.0,462.0,315.0,15.0,4512.0
21,17,33,19.0,413.0,9.0,4.0,0.0,4.0,8.0,457.0,13.0,1514.0
322,184,364,444.0,4639.0,154.0,112.0,40.0,53.0,92.0,6167.0,132.0,17942.0
33,66,36,75.0,2605.0,12.0,53.0,15.0,12.0,61.0,604.0,17.0,8679.0
428,385,597,756.0,14483.0,259.0,439.0,109.0,102.0,424.0,6025.0,133.0,37190.0
471,439,576,1025.0,21183.0,268.0,471.0,110.0,86.0,640.0,7655.0,175.0,49618.0
121,71,171,146.0,1780.0,51.0,23.0,11.0,18.0,106.0,1308.0,53.0,6444.0
54,103,62,102.0,3318.0,29.0,26.0,11.0,13.0,139.0,701.0,22.0,7565.0
1952,416,1413,1582.0,14584.0,622.0,345.0,127.0,329.0,284.0,30896.0,742.0,69940.0
59,47,29,70.0,2133.0,15.0,29.0,6.0,10.0,46.0,876.0,26.0,5613.0
37,227,36,131.0,2410.0,19.0,47.0,14.0,17.0,304.0,236.0,13.0,7388.0
194,71,211,259.0,1953.0,76.0,31.0,13.0,92.0,104.0,1024.0,42.0,6835.0
268,291,377,528.0,7950.0,129.0,233.0,60.0,57.0,268.0,3941.0,70.0,20884.0
529,309,566,656.0,8944.0,223.0,247.0,72.0,102.0,363.0,6665.0,129.0,29558.0
225,100,173,221.0,3018.0,95.0,48.0,17.0,344.0,68.0,3158.0,54.0,10465.0
135,124,156,186.0,4540.0,54.0,60.0,23.0,18.0,94.0,2207.0,34.0,11607.0
42,9,55,57.0,510.0,28.0,4.0,3.0,5.0,6.0,819.0,24.0,2156.0
523,412,550,875.0,6631.0,296.0,333.0,104.0,109.0,420.0,2967.0,124.0,22917.0
57,56,49,87.0,1556.0,26.0,22.0,3.0,12.0,60.0,778.0,11.0,4323.0
660,482,752,1022.0,20167.0,319.0,440.0,116.0,96.0,567.0,10688.0,220.0,53687.0
336,570,354,1138.0,13577.0,210.0,354.0,86.0,170.0,599.0,2415.0,135.0,31714.0
65,134,78,99.0,1095.0,33.0,34.0,8.0,12.0,100.0,334.0,21.0,4323.0
2376,759,3283,3912.0,30472.0,1259.0,984.0,332.0,525.0,842.0,54715.0,600.0,131588.0
36,15,26,37.0,388.0,11.0,20.0,11.0,7.0,20.0,410.0,7.0,1534.0
95,161,73,227.0,3858.0,47.0,70.0,23.0,18.0,259.0,1129.0,35.0,9703.0
1138,1125,1380,3638.0,57372.0,779.0,1713.0,339.0,333.0,1275.0,27461.0,472.0,142240.0
1018,186,1393,1603.0,8031.0,479.0,445.0,146.0,235.0,206.0,24568.0,947.0,50597.0
31,16,33,29.0,305.0,22.0,6.0,2.0,8.0,13.0,474.0,11.0,1409.0
4397,351,4295,2846.0,7087.0,1935.0,327.0,1125.0,438.0,320.0,65681.0,1109.0,111262.0
36,43,69,40.0,1066.0,17.0,11.0,6.0,12.0,38.0,239.0,18.0,2700.0
8510,1894,8517,12917.0,98534.0,4179.0,3692.0,1205.0,1626.0,2266.0,146081.0,2215.0,388962.0
234,180,300,307.0,4324.0,87.0,51.0,26.0,50.0,427.0,2455.0,63.0,14722.0
162,137,228,260.0,6562.0,62.0,75.0,17.0,38.0,156.0,2531.0,62.0,15782.0
1213,673,1238,2054.0,28606.0,564.0,748.0,206.0,1545.0,685.0,16245.0,386.0,79405.0
106,60,106,145.0,2703.0,50.0,39.0,12.0,45.0,125.0,1085.0,23.0,6914.0
737,589,873,1526.0,28927.0,411.0,686.0,153.0,146.0,636.0,16593.0,286.0,75642.0
55,64,53,87.0,2281.0,28.0,29.0,5.0,10.0,55.0,1172.0,30.0,5998.0
118,45,149,132.0,2330.0,73.0,27.0,10.0,22.0,88.0,1738.0,48.0,7885.0
48,126,77,218.0,3088.0,41.0,72.0,18.0,25.0,134.0,461.0,29.0,7157.0
80,168,78,266.0,5260.0,50.0,126.0,31.0,27.0,154.0,1506.0,27.0,15853.0
9516,985,10345,12147.0,34424.0,4461.0,2090.0,1087.0,1597.0,917.0,226422.0,2641.0,367038.0
297,116,357,391.0,2980.0,124.0,54.0,23.0,79.0,143.0,1738.0,74.0,11319.0
65,80,88,75.0,2897.0,43.0,31.0,8.0,15.0,85.0,1421.0,29.0,7890.0
79,32,75,77.0,1041.0,28.0,17.0,4.0,14.0,25.0,1188.0,48.0,4005.0
830,129,1186,854.0,5618.0,344.0,109.0,57.0,161.0,133.0,17215.0,356.0,34874.0
2130,298,1930,1616.0,13950.0,705.0,371.0,193.0,223.0,322.0,29375.0,462.0,68154.0
126,46,135,155.0,1133.0,83.0,23.0,22.0,19.0,55.0,1005.0,38.0,4969.0
10,33,21,25.0,558.0,9.0,4.0,5.0,6.0,24.0,36.0,2.0,1381.0
262,437,376,566.0,12742.0,158.0,324.0,72.0,52.0,439.0,4943.0,74.0,30974.0
223,118,182,279.0,1526.0,78.0,33.0,18.0,30.0,74.0,1237.0,57.0,8981.0
143,96,117,148.0,3061.0,47.0,27.0,11.0,70.0,88.0,1692.0,33.0,9191.0
57,53,57,77.0,1503.0,41.0,16.0,5.0,19.0,51.0,791.0,22.0,4147.0
32,122,51,270.0,3877.0,42.0,66.0,23.0,23.0,94.0,1694.0,39.0,14571.0
950,379,1000,1870.0,20872.0,554.0,543.0,191.0,195.0,401.0,22126.0,310.0,68244.0
359,340,434,864.0,14403.0,172.0,317.0,82.0,63.0,473.0,7420.0,129.0,37892.0
