Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total
31,8,7,1,0,16,10,13,10,0,33,11.0,10.0,8.0,0.0,29.0,58.0,186.0,61.0,0.0,305.0,8.0,9.0,5.0,0.0,22.0,3.0,2.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,4.0,0.0,8.0,4.0,7.0,2.0,0.0,13.0,81.0,201.0,192.0,0.0,474.0,3.0,4.0,4.0,0.0,11.0,1409.0
4397,107,203,41,0,351,1102,2171,985,37,4295,750.0,1608.0,479.0,9.0,2846.0,1309.0,3592.0,2179.0,7.0,7087.0,568.0,1106.0,255.0,6.0,1935.0,127.0,128.0,72.0,0.0,327.0,260.0,584.0,278.0,3.0,1125.0,89.0,193.0,155.0,1.0,438.0,104.0,144.0,69.0,3.0,320.0,9552.0,35680.0,20214.0,235.0,65681.0,294.0,585.0,220.0,10.0,1109.0,111262.0
36,14,26,3,0,43,17,33,19,0,69,11.0,25.0,4.0,0.0,40.0,298.0,657.0,111.0,0.0,1066.0,9.0,7.0,1.0,0.0,17.0,4.0,5.0,2.0,0.0,11.0,4.0,2.0,0.0,0.0,6.0,7.0,3.0,2.0,0.0,12.0,17.0,16.0,5.0,0.0,38.0,67.0,116.0,56.0,0.0,239.0,5.0,6.0,7.0,0.0,18.0,2700.0
8510,630,873,385,6,1894,1805,4204,2483,25,8517,2430.0,6040.0,4436.0,11.0,12917.0,22138.0,45108.0,31238.0,50.0,98534.0,1067.0,2400.0,707.0,5.0,4179.0,1337.0,1335.0,1012.0,8.0,3692.0,368.0,450.0,384.0,3.0,1205.0,230.0,572.0,824.0,0.0,1626.0,702.0,1012.0,544.0,8.0,2266.0,16398.0,60331.0,69202.0,150.0,146081.0,414.0,987.0,808.0,6.0,2215.0,388962.0
234,60,108,11,1,180,97,149,54,0,300,76.0,180.0,51.0,0.0,307.0,1039.0,2840.0,445.0,0.0,4324.0,37.0,43.0,7.0,0.0,87.0,18.0,30.0,3.0,0.0,51.0,9.0,9.0,8.0,0.0,26.0,15.0,18.0,17.0,0.0,50.0,99.0,302.0,25.0,1.0,427.0,588.0,1315.0,549.0,3.0,2455.0,20.0,34.0,9.0,0.0,63.0,14722.0
162,50,77,9,1,137,55,106,67,0,228,72.0,123.0,65.0,0.0,260.0,2377.0,3380.0,799.0,6.0,6562.0,20.0,34.0,8.0,0.0,62.0,37.0,29.0,9.0,0.0,75.0,7.0,6.0,4.0,0.0,17.0,12.0,12.0,14.0,0.0,38.0,58.0,83.0,15.0,0.0,156.0,728.0,1114.0,688.0,1.0,2531.0,12.0,24.0,26.0,0.0,62.0,15782.0
1213,249,352,71,1,673,282,625,328,3,1238,459.0,1100.0,494.0,1.0,2054.0,7728.0,16781.0,4073.0,24.0,28606.0,142.0,329.0,93.0,0.0,564.0,298.0,349.0,100.0,1.0,748.0,62.0,89.0,55.0,0.0,206.0,203.0,692.0,650.0,0.0,1545.0,227.0,365.0,93.0,0.0,685.0,2526.0,8227.0,5476.0,16.0,16245.0,90.0,186.0,109.0,1.0,386.0,79405.0
106,16,40,4,0,60,36,53,17,0,106,43.0,77.0,25.0,0.0,145.0,616.0,1815.0,271.0,1.0,2703.0,16.0,24.0,10.0,0.0,50.0,16.0,19.0,4.0,0.0,39.0,3.0,6.0,3.0,0.0,12.0,10.0,19.0,16.0,0.0,45.0,29.0,90.0,6.0,0.0,125.0,275.0,538.0,272.0,0.0,1085.0,3.0,16.0,4.0,0.0,23.0,6914.0
737,269,255,65,0,589,237,386,248,2,873,395.0,668.0,462.0,1.0,1526.0,10210.0,13132.0,5583.0,2.0,28927.0,148.0,186.0,77.0,0.0,411.0,352.0,207.0,125.0,2.0,686.0,62.0,46.0,45.0,0.0,153.0,27.0,39.0,80.0,0.0,146.0,274.0,263.0,98.0,1.0,636.0,3485.0,6450.0,6652.0,6.0,16593.0,97.0,99.0,90.0,0.0,286.0,75642.0
55,23,39,2,0,64,7,35,11,0,53,21.0,47.0,19.0,0.0,87.0,594.0,1360.0,326.0,1.0,2281.0,8.0,17.0,3.0,0.0,28.0,14.0,13.0,2.0,0.0,29.0,1.0,4.0,0.0,0.0,5.0,1.0,4.0,5.0,0.0,10.0,17.0,30.0,8.0,0.0,55.0,184.0,586.0,401.0,1.0,1172.0,6.0,14.0,10.0,0.0,30.0,5998.0
118,12,28,5,0,45,35,74,40,0,149,25.0,78.0,29.0,0.0,132.0,464.0,1492.0,373.0,1.0,2330.0,26.0,32.0,15.0,0.0,73.0,9.0,14.0,4.0,0.0,27.0,2.0,5.0,3.0,0.0,10.0,6.0,12.0,4.0,0.0,22.0,29.0,50.0,8.0,1.0,88.0,289.0,918.0,531.0,0.0,1738.0,8.0,26.0,14.0,0.0,48.0,7885.0
48,52,62,12,0,126,14,46,17,0,77,56.0,107.0,54.0,1.0,218.0,989.0,1750.0,348.0,1.0,3088.0,9.0,24.0,8.0,0.0,41.0,28.0,38.0,6.0,0.0,72.0,9.0,7.0,2.0,0.0,18.0,3.0,15.0,7.0,0.0,25.0,48.0,80.0,6.0,0.0,134.0,84.0,222.0,155.0,0.0,461.0,7.0,15.0,7.0,0.0,29.0,7157.0
