Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total
223,42,66,10,0,118,45,93,44,0,182,54.0,125.0,100.0,0.0,279.0,471.0,831.0,224.0,0.0,1526.0,14.0,48.0,16.0,0.0,78.0,17.0,15.0,1.0,0.0,33.0,3.0,11.0,4.0,0.0,18.0,4.0,7.0,19.0,0.0,30.0,23.0,47.0,4.0,0.0,74.0,189.0,559.0,489.0,0.0,1237.0,10.0,23.0,24.0,0.0,57.0,8981.0
143,53,42,1,0,96,44,55,18,0,117,49.0,67.0,32.0,0.0,148.0,1152.0,1441.0,468.0,0.0,3061.0,20.0,21.0,6.0,0.0,47.0,12.0,12.0,3.0,0.0,27.0,7.0,3.0,0.0,1.0,11.0,16.0,18.0,36.0,0.0,70.0,41.0,44.0,3.0,0.0,88.0,462.0,743.0,487.0,0.0,1692.0,9.0,15.0,9.0,0.0,33.0,9191.0
57,15,34,4,0,53,12,38,7,0,57,15.0,48.0,14.0,0.0,77.0,223.0,993.0,287.0,0.0,1503.0,20.0,16.0,5.0,0.0,41.0,4.0,8.0,4.0,0.0,16.0,2.0,3.0,0.0,0.0,5.0,3.0,9.0,7.0,0.0,19.0,16.0,32.0,3.0,0.0,51.0,121.0,439.0,231.0,0.0,791.0,4.0,16.0,2.0,0.0,22.0,4147.0
32,56,58,7,1,122,12,24,15,0,51,42.0,106.0,122.0,0.0,270.0,1280.0,1831.0,759.0,7.0,3877.0,11.0,18.0,13.0,0.0,42.0,21.0,29.0,16.0,0.0,66.0,10.0,7.0,6.0,0.0,23.0,2.0,11.0,10.0,0.0,23.0,43.0,35.0,16.0,0.0,94.0,248.0,693.0,753.0,0.0,1694.0,5.0,23.0,11.0,0.0,39.0,14571.0
950,89,229,60,1,379,162,590,246,2,1000,295.0,1097.0,475.0,3.0,1870.0,3665.0,12832.0,4349.0,26.0,20872.0,119.0,363.0,70.0,2.0,554.0,160.0,290.0,92.0,1.0,543.0,33.0,109.0,48.0,1.0,191.0,22.0,89.0,84.0,0.0,195.0,94.0,238.0,69.0,0.0,401.0,2073.0,11805.0,8215.0,33.0,22126.0,49.0,162.0,99.0,0.0,310.0,68244.0
359,132,174,34,0,340,128,211,93,2,434,232.0,425.0,205.0,2.0,864.0,4040.0,7920.0,2337.0,106.0,14403.0,48.0,96.0,27.0,1.0,172.0,130.0,141.0,46.0,0.0,317.0,24.0,38.0,20.0,0.0,82.0,20.0,24.0,19.0,0.0,63.0,165.0,271.0,37.0,0.0,473.0,1388.0,3128.0,2881.0,23.0,7420.0,34.0,53.0,42.0,0.0,129.0,37892.0
1106,203,718,143,0,1064,218,972,421,0,1611,421.0,2706.0,1206.0,2.0,4335.0,4840.0,31749.0,7777.0,17.0,44383.0,108.0,536.0,118.0,0.0,762.0,303.0,794.0,216.0,2.0,1315.0,56.0,168.0,78.0,1.0,303.0,23.0,176.0,172.0,0.0,371.0,195.0,654.0,129.0,0.0,978.0,1545.0,12604.0,9739.0,7.0,23895.0,52.0,254.0,230.0,0.0,536.0,127000.0
93,51,84,11,0,146,21,42,26,0,89,49.0,90.0,80.0,1.0,220.0,612.0,1313.0,332.0,1.0,2258.0,17.0,16.0,9.0,0.0,42.0,28.0,31.0,4.0,0.0,63.0,7.0,5.0,5.0,0.0,17.0,9.0,12.0,10.0,0.0,31.0,41.0,54.0,5.0,0.0,100.0,111.0,261.0,241.0,0.0,613.0,7.0,13.0,7.0,0.0,27.0,10586.0
13034,402,1129,292,32,1855,2172,8854,2662,178,13866,2373.0,13069.0,4559.0,102.0,20103.0,10958.0,53286.0,18920.0,351.0,83515.0,1197.0,4771.0,728.0,46.0,6742.0,738.0,1863.0,787.0,35.0,3423.0,350.0,973.0,393.0,27.0,1743.0,256.0,1204.0,907.0,23.0,2390.0,417.0,1133.0,328.0,27.0,1905.0,21966.0,152976.0,87088.0,1293.0,263323.0,537.0,1949.0,897.0,43.0,3426.0,517482.0
49,69,77,18,1,165,23,37,24,0,84,51.0,115.0,106.0,0.0,272.0,1644.0,2384.0,877.0,3.0,4908.0,9.0,32.0,12.0,0.0,53.0,47.0,40.0,18.0,0.0,105.0,9.0,6.0,6.0,0.0,21.0,5.0,3.0,13.0,0.0,21.0,40.0,45.0,8.0,0.0,93.0,256.0,788.0,852.0,1.0,1897.0,7.0,16.0,13.0,0.0,36.0,16201.0
10,10,10,2,0,22,3,0,2,0,5,6.0,3.0,8.0,0.0,17.0,230.0,453.0,136.0,0.0,819.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,6.0,0.0,13.0,4.0,5.0,1.0,0.0,10.0,19.0,36.0,29.0,0.0,84.0,1.0,0.0,0.0,0.0,1.0,1500.0
743,242,619,120,1,982,168,525,252,4,949,184.0,824.0,422.0,0.0,1430.0,2092.0,7556.0,2150.0,12.0,11810.0,121.0,298.0,105.0,0.0,524.0,86.0,156.0,43.0,0.0,285.0,33.0,62.0,35.0,0.0,130.0,25.0,79.0,103.0,0.0,207.0,145.0,411.0,76.0,3.0,635.0,779.0,3431.0,3054.0,8.0,7272.0,30.0,92.0,84.0,1.0,207.0,40767.0
140,152,144,22,0,318,72,81,43,1,197,125.0,219.0,103.0,0.0,447.0,3371.0,4784.0,1380.0,4.0,9539.0,34.0,52.0,7.0,0.0,93.0,81.0,68.0,18.0,0.0,167.0,8.0,14.0,11.0,0.0,33.0,15.0,15.0,16.0,0.0,46.0,137.0,174.0,28.0,1.0,340.0,585.0,1106.0,928.0,0.0,2619.0,17.0,27.0,23.0,1.0,68.0,23470.0
241,32,81,16,1,130,76,173,67,0,316,66.0,149.0,79.0,0.0,294.0,795.0,1476.0,446.0,2.0,2719.0,26.0,56.0,21.0,0.0,103.0,23.0,17.0,4.0,0.0,44.0,5.0,6.0,5.0,0.0,16.0,3.0,25.0,11.0,0.0,39.0,39.0,94.0,12.0,0.0,145.0,214.0,670.0,515.0,7.0,1406.0,14.0,31.0,25.0,0.0,70.0,10406.0
67,12,18,6,0,36,12,36,32,0,80,28.0,77.0,68.0,0.0,173.0,410.0,2254.0,683.0,2.0,3349.0,3.0,23.0,8.0,0.0,34.0,13.0,20.0,7.0,0.0,40.0,8.0,7.0,1.0,0.0,16.0,2.0,7.0,5.0,0.0,14.0,10.0,22.0,8.0,0.0,40.0,305.0,1221.0,1043.0,3.0,2572.0,5.0,22.0,11.0,0.0,38.0,11123.0
9864,1091,1904,644,16,3655,3383,9166,3504,45,16098,3173.0,9144.0,3703.0,17.0,16037.0,17944.0,48733.0,21889.0,47.0,88613.0,1254.0,2980.0,522.0,2.0,4758.0,1115.0,1439.0,638.0,5.0,3197.0,348.0,533.0,308.0,2.0,1191.0,302.0,778.0,661.0,2.0,1743.0,786.0,1318.0,381.0,2.0,2487.0,17435.0,73490.0,51923.0,120.0,142968.0,714.0,1661.0,822.0,7.0,3204.0,402715.0
120,36,91,21,1,149,34,86,27,0,147,51.0,166.0,109.0,0.0,326.0,903.0,3503.0,964.0,1.0,5371.0,12.0,43.0,12.0,0.0,67.0,53.0,91.0,26.0,1.0,171.0,8.0,16.0,8.0,0.0,32.0,9.0,11.0,11.0,0.0,31.0,38.0,84.0,19.0,1.0,142.0,247.0,1034.0,852.0,0.0,2133.0,22.0,19.0,20.0,0.0,61.0,20122.0
818,169,336,48,0,553,246,611,209,0,1066,376.0,999.0,451.0,0.0,1826.0,3967.0,13807.0,4183.0,0.0,21957.0,146.0,342.0,64.0,0.0,552.0,250.0,396.0,123.0,0.0,769.0,59.0,107.0,45.0,0.0,211.0,40.0,75.0,80.0,0.0,195.0,148.0,359.0,60.0,0.0,567.0,1790.0,6664.0,6425.0,0.0,14879.0,78.0,134.0,95.0,0.0,307.0,89413.0
103,9,6,0,0,15,36,39,42,0,117,25.0,33.0,31.0,0.0,89.0,138.0,326.0,144.0,0.0,608.0,10.0,22.0,12.0,0.0,44.0,4.0,1.0,2.0,0.0,7.0,1.0,2.0,1.0,0.0,4.0,3.0,11.0,16.0,0.0,30.0,7.0,6.0,1.0,0.0,14.0,400.0,816.0,910.0,3.0,2129.0,13.0,10.0,15.0,0.0,38.0,4089.0
51,112,164,23,0,299,20,35,30,0,85,46.0,68.0,53.0,0.0,167.0,2235.0,3252.0,1044.0,2.0,6533.0,14.0,7.0,13.0,0.0,34.0,40.0,45.0,14.0,0.0,99.0,7.0,4.0,3.0,0.0,14.0,0.0,6.0,6.0,0.0,12.0,96.0,106.0,9.0,0.0,211.0,266.0,514.0,419.0,1.0,1200.0,10.0,7.0,12.0,0.0,29.0,13969.0
141,59,65,17,0,141,52,78,66,0,196,78.0,113.0,100.0,0.0,291.0,2822.0,3164.0,1102.0,2.0,7090.0,20.0,25.0,15.0,1.0,61.0,65.0,37.0,27.0,0.0,129.0,11.0,11.0,14.0,0.0,36.0,5.0,12.0,31.0,0.0,48.0,69.0,60.0,27.0,0.0,156.0,880.0,1460.0,1434.0,2.0,3776.0,20.0,25.0,22.0,0.0,67.0,19738.0
199,53,99,11,0,163,45,93,35,1,174,54.0,153.0,133.0,0.0,340.0,584.0,1191.0,304.0,1.0,2080.0,27.0,47.0,14.0,1.0,89.0,24.0,32.0,5.0,0.0,61.0,8.0,10.0,2.0,0.0,20.0,6.0,20.0,17.0,0.0,43.0,31.0,69.0,7.0,0.0,107.0,211.0,627.0,464.0,0.0,1302.0,8.0,10.0,19.0,0.0,37.0,12354.0
14,34,35,6,0,75,7,7,12,0,26,14.0,25.0,15.0,0.0,54.0,942.0,1190.0,410.0,0.0,2542.0,6.0,9.0,2.0,0.0,17.0,13.0,19.0,1.0,0.0,33.0,6.0,1.0,3.0,0.0,10.0,2.0,3.0,3.0,0.0,8.0,31.0,23.0,6.0,0.0,60.0,140.0,250.0,202.0,0.0,592.0,7.0,7.0,5.0,0.0,19.0,5247.0
3290,171,396,69,1,637,529,1996,759,7,3291,488.0,1959.0,615.0,1.0,3063.0,4390.0,17614.0,4811.0,9.0,26824.0,299.0,998.0,165.0,0.0,1462.0,197.0,382.0,108.0,0.0,687.0,98.0,243.0,98.0,1.0,440.0,59.0,167.0,188.0,2.0,416.0,193.0,408.0,84.0,0.0,685.0,4487.0,29707.0,15177.0,36.0,49407.0,135.0,501.0,161.0,3.0,800.0,121470.0
1436,191,247,59,2,499,318,483,400,2,1203,402.0,614.0,485.0,1.0,1502.0,6371.0,11285.0,4655.0,16.0,22327.0,151.0,227.0,97.0,0.0,475.0,229.0,213.0,108.0,2.0,552.0,54.0,54.0,56.0,0.0,164.0,44.0,70.0,154.0,1.0,269.0,251.0,313.0,82.0,0.0,646.0,3952.0,9857.0,8112.0,24.0,21945.0,99.0,186.0,140.0,0.0,425.0,73818.0
43,16,33,2,0,51,16,46,17,0,79,14.0,23.0,5.0,0.0,42.0,320.0,925.0,214.0,0.0,1459.0,5.0,5.0,3.0,0.0,13.0,2.0,11.0,1.0,1.0,15.0,0.0,2.0,3.0,0.0,5.0,0.0,5.0,1.0,0.0,6.0,10.0,35.0,3.0,0.0,48.0,135.0,318.0,152.0,1.0,606.0,6.0,11.0,2.0,0.0,19.0,4093.0
259,92,198,27,0,317,62,146,103,0,311,112.0,322.0,164.0,0.0,598.0,2204.0,8543.0,1845.0,1.0,12593.0,29.0,105.0,27.0,0.0,161.0,105.0,163.0,49.0,0.0,317.0,14.0,31.0,13.0,0.0,58.0,7.0,19.0,32.0,0.0,58.0,102.0,271.0,39.0,0.0,412.0,594.0,2361.0,1826.0,2.0,4783.0,16.0,42.0,36.0,0.0,94.0,37156.0
60,18,42,4,1,65,17,32,30,0,79,12.0,56.0,23.0,0.0,91.0,857.0,1888.0,497.0,4.0,3246.0,8.0,16.0,4.0,0.0,28.0,16.0,17.0,4.0,0.0,37.0,5.0,4.0,2.0,0.0,11.0,1.0,1.0,4.0,0.0,6.0,26.0,44.0,3.0,0.0,73.0,200.0,523.0,492.0,3.0,1218.0,1.0,11.0,9.0,0.0,21.0,7537.0
68,44,45,10,0,99,12,30,7,0,49,17.0,28.0,10.0,0.0,55.0,493.0,982.0,244.0,0.0,1719.0,9.0,9.0,1.0,0.0,19.0,9.0,12.0,5.0,0.0,26.0,4.0,6.0,1.0,0.0,11.0,3.0,4.0,2.0,0.0,9.0,262.0,463.0,44.0,0.0,769.0,141.0,270.0,179.0,0.0,590.0,3.0,4.0,0.0,0.0,7.0,5603.0
184,22,17,3,0,42,71,89,44,1,205,47.0,71.0,27.0,0.0,145.0,607.0,983.0,256.0,1.0,1847.0,14.0,28.0,8.0,1.0,51.0,11.0,12.0,1.0,0.0,24.0,2.0,2.0,1.0,0.0,5.0,26.0,42.0,107.0,0.0,175.0,17.0,23.0,0.0,0.0,40.0,574.0,1091.0,816.0,6.0,2487.0,9.0,15.0,8.0,0.0,32.0,7462.0
77,11,19,4,0,34,10,23,12,0,45,18.0,26.0,11.0,0.0,55.0,283.0,642.0,179.0,0.0,1104.0,3.0,6.0,2.0,0.0,11.0,5.0,3.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,4.0,2.0,8.0,20.0,0.0,30.0,17.0,14.0,2.0,0.0,33.0,174.0,359.0,273.0,0.0,806.0,10.0,10.0,7.0,0.0,27.0,3366.0
43,22,16,2,0,40,19,33,20,0,72,6.0,15.0,4.0,0.0,25.0,351.0,836.0,189.0,0.0,1376.0,3.0,8.0,7.0,0.0,18.0,5.0,6.0,3.0,0.0,14.0,1.0,2.0,1.0,0.0,4.0,2.0,6.0,2.0,0.0,10.0,15.0,20.0,0.0,0.0,35.0,132.0,382.0,249.0,0.0,763.0,3.0,4.0,3.0,0.0,10.0,3961.0
184,45,72,9,0,126,31,68,44,0,143,46.0,129.0,60.0,0.0,235.0,1650.0,2971.0,774.0,2.0,5397.0,21.0,37.0,13.0,0.0,71.0,32.0,29.0,7.0,0.0,68.0,5.0,6.0,0.0,0.0,11.0,3.0,11.0,20.0,0.0,34.0,51.0,78.0,3.0,0.0,132.0,576.0,1688.0,1231.0,1.0,3496.0,13.0,27.0,20.0,0.0,60.0,14754.0
78,40,43,3,0,86,22,38,14,0,74,33.0,64.0,16.0,0.0,113.0,888.0,1899.0,452.0,4.0,3243.0,6.0,21.0,3.0,0.0,30.0,23.0,21.0,7.0,0.0,51.0,12.0,6.0,0.0,0.0,18.0,3.0,3.0,8.0,0.0,14.0,35.0,40.0,7.0,0.0,82.0,339.0,886.0,767.0,2.0,1994.0,11.0,21.0,11.0,0.0,43.0,8943.0
44,13,33,5,0,51,31,54,22,0,107,24.0,56.0,21.0,0.0,101.0,218.0,833.0,140.0,0.0,1191.0,3.0,12.0,6.0,0.0,21.0,10.0,16.0,3.0,0.0,29.0,6.0,2.0,2.0,0.0,10.0,4.0,10.0,4.0,0.0,18.0,20.0,53.0,6.0,0.0,79.0,39.0,196.0,130.0,0.0,365.0,1.0,7.0,10.0,0.0,18.0,3428.0
329,75,73,12,0,160,95,141,69,0,305,79.0,145.0,80.0,0.0,304.0,2615.0,2864.0,1113.0,0.0,6592.0,54.0,55.0,21.0,0.0,130.0,29.0,37.0,10.0,0.0,76.0,4.0,10.0,9.0,0.0,23.0,15.0,27.0,24.0,0.0,66.0,75.0,81.0,18.0,0.0,174.0,1175.0,2236.0,1921.0,2.0,5334.0,20.0,34.0,34.0,0.0,88.0,22323.0
171,42,75,11,0,128,44,111,41,0,196,63.0,167.0,69.0,0.0,299.0,1564.0,4135.0,663.0,3.0,6365.0,22.0,49.0,9.0,0.0,80.0,44.0,44.0,13.0,0.0,101.0,12.0,13.0,5.0,0.0,30.0,7.0,22.0,16.0,0.0,45.0,73.0,106.0,14.0,0.0,193.0,550.0,1582.0,838.0,0.0,2970.0,10.0,27.0,23.0,0.0,60.0,16458.0
765,68,92,32,0,192,116,378,216,0,710,105.0,382.0,183.0,0.0,670.0,761.0,2348.0,646.0,0.0,3755.0,64.0,192.0,51.0,0.0,307.0,45.0,78.0,40.0,0.0,163.0,30.0,36.0,17.0,0.0,83.0,15.0,47.0,52.0,0.0,114.0,61.0,124.0,25.0,0.0,210.0,855.0,4319.0,2539.0,0.0,7713.0,21.0,83.0,42.0,0.0,146.0,20913.0
84,18,19,2,0,39,17,20,12,1,50,23.0,31.0,30.0,0.0,84.0,511.0,986.0,228.0,0.0,1725.0,8.0,13.0,3.0,0.0,24.0,7.0,13.0,11.0,0.0,31.0,3.0,2.0,3.0,0.0,8.0,6.0,28.0,80.0,0.0,114.0,14.0,14.0,1.0,0.0,29.0,143.0,311.0,348.0,1.0,803.0,3.0,10.0,3.0,0.0,16.0,4561.0
119,42,44,8,1,95,32,79,23,0,134,21.0,75.0,15.0,0.0,111.0,518.0,1026.0,159.0,5.0,1708.0,10.0,24.0,6.0,0.0,40.0,19.0,26.0,2.0,0.0,47.0,11.0,9.0,5.0,0.0,25.0,7.0,7.0,1.0,0.0,15.0,38.0,55.0,5.0,1.0,99.0,201.0,686.0,341.0,5.0,1233.0,6.0,15.0,7.0,0.0,28.0,5520.0
1514,131,271,45,4,451,241,884,313,30,1468,274.0,893.0,344.0,13.0,1524.0,2519.0,8428.0,1621.0,39.0,12607.0,143.0,426.0,100.0,10.0,679.0,115.0,168.0,45.0,6.0,334.0,44.0,46.0,24.0,0.0,114.0,59.0,229.0,121.0,4.0,413.0,207.0,480.0,80.0,8.0,775.0,871.0,4097.0,2901.0,62.0,7931.0,45.0,130.0,93.0,5.0,273.0,45145.0
57,32,95,8,1,136,12,42,11,0,65,47.0,153.0,104.0,0.0,304.0,769.0,2806.0,791.0,0.0,4366.0,13.0,32.0,12.0,0.0,57.0,52.0,111.0,18.0,0.0,181.0,9.0,10.0,5.0,0.0,24.0,1.0,5.0,12.0,0.0,18.0,31.0,71.0,13.0,0.0,115.0,157.0,1031.0,854.0,0.0,2042.0,5.0,18.0,21.0,0.0,44.0,15324.0
95,7,19,3,0,29,30,37,16,0,83,33.0,61.0,24.0,0.0,118.0,159.0,588.0,76.0,0.0,823.0,8.0,14.0,3.0,0.0,25.0,5.0,6.0,1.0,0.0,12.0,3.0,1.0,1.0,0.0,5.0,5.0,9.0,6.0,0.0,20.0,6.0,13.0,2.0,0.0,21.0,428.0,1052.0,507.0,0.0,1987.0,14.0,14.0,3.0,0.0,31.0,4553.0
97,44,58,17,0,119,37,41,35,0,113,63.0,121.0,65.0,0.0,249.0,1507.0,2549.0,750.0,2.0,4808.0,17.0,24.0,18.0,0.0,59.0,44.0,38.0,10.0,0.0,92.0,16.0,9.0,8.0,0.0,33.0,9.0,8.0,9.0,0.0,26.0,37.0,65.0,11.0,0.0,113.0,434.0,1008.0,841.0,1.0,2284.0,14.0,23.0,20.0,0.0,57.0,14674.0
44,16,15,4,0,35,7,23,11,0,41,18.0,35.0,16.0,0.0,69.0,333.0,591.0,154.0,0.0,1078.0,7.0,19.0,6.0,0.0,32.0,4.0,8.0,6.0,0.0,18.0,1.0,5.0,0.0,0.0,6.0,3.0,8.0,12.0,0.0,23.0,25.0,10.0,2.0,0.0,37.0,149.0,373.0,327.0,0.0,849.0,3.0,5.0,8.0,0.0,16.0,3550.0
225,19,61,2,0,82,44,99,52,0,195,45.0,92.0,28.0,0.0,165.0,425.0,2533.0,545.0,0.0,3503.0,16.0,41.0,11.0,0.0,68.0,15.0,36.0,3.0,0.0,54.0,3.0,11.0,2.0,0.0,16.0,18.0,95.0,119.0,0.0,232.0,14.0,58.0,10.0,0.0,82.0,280.0,1133.0,974.0,0.0,2387.0,8.0,33.0,19.0,0.0,60.0,10307.0
109,18,60,15,0,93,21,48,27,0,96,34.0,85.0,50.0,0.0,169.0,426.0,1191.0,500.0,0.0,2117.0,18.0,24.0,9.0,0.0,51.0,8.0,12.0,4.0,0.0,24.0,7.0,6.0,3.0,0.0,16.0,2.0,10.0,6.0,0.0,18.0,17.0,24.0,11.0,0.0,52.0,213.0,780.0,552.0,0.0,1545.0,8.0,8.0,16.0,0.0,32.0,6494.0
161,32,51,7,0,90,78,88,42,0,208,51.0,51.0,29.0,0.0,131.0,1149.0,1587.0,518.0,1.0,3255.0,18.0,24.0,12.0,0.0,54.0,15.0,15.0,4.0,0.0,34.0,9.0,5.0,5.0,0.0,19.0,6.0,10.0,7.0,0.0,23.0,36.0,37.0,9.0,1.0,83.0,775.0,1080.0,1158.0,5.0,3018.0,25.0,25.0,16.0,0.0,66.0,10694.0
40,12,19,10,0,41,8,17,16,0,41,15.0,31.0,18.0,0.0,64.0,240.0,538.0,102.0,1.0,881.0,7.0,9.0,0.0,0.0,16.0,4.0,5.0,3.0,0.0,12.0,1.0,3.0,0.0,0.0,4.0,1.0,3.0,7.0,0.0,11.0,14.0,20.0,3.0,0.0,37.0,69.0,119.0,83.0,0.0,271.0,3.0,5.0,5.0,0.0,13.0,2643.0
141,12,31,5,0,48,39,81,59,0,179,40.0,77.0,47.0,0.0,164.0,615.0,1111.0,363.0,1.0,2090.0,22.0,21.0,11.0,0.0,54.0,9.0,8.0,3.0,0.0,20.0,4.0,5.0,0.0,0.0,9.0,4.0,5.0,7.0,0.0,16.0,22.0,34.0,6.0,0.0,62.0,522.0,1064.0,1008.0,4.0,2598.0,18.0,22.0,32.0,0.0,72.0,8810.0
147,38,107,16,0,161,27,78,21,0,126,38.0,148.0,41.0,0.0,227.0,1727.0,3747.0,599.0,4.0,6077.0,17.0,41.0,7.0,0.0,65.0,34.0,48.0,12.0,0.0,94.0,5.0,12.0,8.0,0.0,25.0,5.0,12.0,8.0,0.0,25.0,41.0,67.0,6.0,0.0,114.0,492.0,1633.0,1070.0,2.0,3197.0,13.0,28.0,12.0,0.0,53.0,15345.0
45,22,23,1,0,46,15,19,10,0,44,14.0,26.0,11.0,0.0,51.0,487.0,667.0,178.0,0.0,1332.0,6.0,8.0,3.0,0.0,17.0,7.0,7.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,5.0,48.0,52.0,6.0,0.0,106.0,141.0,237.0,204.0,0.0,582.0,3.0,5.0,3.0,0.0,11.0,3838.0
79,33,31,2,0,66,23,56,27,1,107,38.0,98.0,30.0,0.0,166.0,1008.0,2821.0,530.0,1.0,4360.0,7.0,29.0,7.0,0.0,43.0,21.0,25.0,11.0,0.0,57.0,5.0,12.0,4.0,0.0,21.0,1.0,11.0,6.0,0.0,18.0,20.0,56.0,2.0,0.0,78.0,302.0,1255.0,834.0,1.0,2392.0,11.0,32.0,3.0,0.0,46.0,11565.0
107,98,138,17,0,253,32,64,29,0,125,90.0,182.0,82.0,0.0,354.0,1884.0,3664.0,752.0,0.0,6300.0,29.0,36.0,7.0,0.0,72.0,24.0,75.0,13.0,0.0,112.0,11.0,6.0,3.0,0.0,20.0,9.0,12.0,21.0,0.0,42.0,83.0,153.0,21.0,0.0,257.0,137.0,340.0,288.0,0.0,765.0,12.0,19.0,22.0,0.0,53.0,14731.0
2004,126,211,54,0,391,375,1122,547,4,2048,430.0,1301.0,701.0,0.0,2432.0,3101.0,8699.0,3501.0,6.0,15307.0,208.0,539.0,153.0,0.0,900.0,173.0,219.0,96.0,0.0,488.0,61.0,119.0,53.0,0.0,233.0,106.0,298.0,273.0,0.0,677.0,150.0,212.0,60.0,0.0,422.0,3615.0,16606.0,12321.0,18.0,32560.0,138.0,325.0,167.0,1.0,631.0,79348.0
1348,196,108,40,1,345,428,594,406,1,1429,342.0,479.0,254.0,1.0,1076.0,6188.0,4379.0,2873.0,3.0,13443.0,188.0,243.0,69.0,1.0,501.0,168.0,85.0,56.0,1.0,310.0,49.0,53.0,30.0,0.0,132.0,37.0,60.0,82.0,0.0,179.0,168.0,121.0,32.0,0.0,321.0,4089.0,8568.0,7782.0,11.0,20450.0,117.0,148.0,87.0,0.0,352.0,53572.0
149,34,103,22,0,159,34,135,77,0,246,71.0,369.0,163.0,0.0,603.0,1551.0,6651.0,1711.0,1.0,9914.0,12.0,64.0,13.0,0.0,89.0,81.0,137.0,40.0,0.0,258.0,10.0,22.0,18.0,0.0,50.0,3.0,30.0,37.0,0.0,70.0,50.0,95.0,29.0,0.0,174.0,435.0,2896.0,2115.0,2.0,5448.0,8.0,67.0,53.0,0.0,128.0,24909.0
61,20,39,9,0,68,22,43,29,0,94,23.0,77.0,31.0,1.0,132.0,540.0,1821.0,539.0,1.0,2901.0,3.0,22.0,6.0,0.0,31.0,15.0,44.0,15.0,0.0,74.0,3.0,9.0,8.0,0.0,20.0,2.0,6.0,12.0,0.0,20.0,29.0,64.0,10.0,0.0,103.0,289.0,810.0,620.0,1.0,1720.0,5.0,15.0,8.0,0.0,28.0,7970.0
1338,214,484,62,2,762,249,801,370,4,1424,333.0,958.0,453.0,6.0,1750.0,5225.0,19788.0,5561.0,23.0,30597.0,149.0,366.0,88.0,1.0,604.0,241.0,391.0,126.0,1.0,759.0,50.0,97.0,57.0,0.0,204.0,25.0,79.0,77.0,0.0,181.0,236.0,603.0,91.0,1.0,931.0,2061.0,9639.0,7408.0,10.0,19118.0,54.0,209.0,112.0,0.0,375.0,83986.0
