County,Registered Voters,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Choice Total,Total Votes
Appling,11399.0,6306.0,1753.0,128.0,8187.0
Atkinson,4799.0,2272.0,773.0,52.0,3097.0
Bacon,6720.0,3929.0,591.0,70.0,4590.0
Baker,2258.0,873.0,648.0,13.0,1534.0
Baldwin,26721.0,8873.0,8783.0,426.0,18082.0
Banks,12898.0,7636.0,899.0,190.0,8725.0
Barrow,55605.0,26317.0,10066.0,1193.0,37576.0
Bartow,74409.0,37008.0,11663.0,1361.0,50032.0
Ben Hill,9854.0,4077.0,2284.0,116.0,6477.0
Berrien,11275.0,6286.0,1204.0,160.0,7650.0
Bibb,107979.0,26645.0,41928.0,1414.0,69987.0
Bleckley,0.0,4281.0,1249.0,114.0,5644.0
Brantley,11888.0,6812.0,688.0,116.0,7616.0
Brooks,11154.0,4250.0,2607.0,119.0,6976.0
Bryan,30608.0,14067.0,6497.0,599.0,21163.0
Bulloch,44738.0,18232.0,10846.0,715.0,29793.0
Burke,16556.0,5407.0,4989.0,164.0,10560.0
Butts,17154.0,8328.0,3128.0,215.0,11671.0
Calhoun,3184.0,933.0,1211.0,28.0,2172.0
Camden,34950.0,14987.0,7467.0,895.0,23349.0
Candler,6300.0,3078.0,1233.0,60.0,4371.0
Carroll,83847.0,36997.0,15549.0,1427.0,53973.0
Catoosa,45715.0,24571.0,6599.0,1004.0,32174.0
Charlton,6552.0,3357.0,1016.0,104.0,4477.0
Chatham,200388.0,53036.0,75983.0,2989.0,132008.0
Chattahoochee,0.0,850.0,636.0,60.0,1546.0
Chattooga,14143.0,7777.0,1886.0,275.0,9938.0
Cherokee,190531.0,99384.0,39928.0,4214.0,143526.0
Clarke,76504.0,15042.0,34471.0,1321.0,50834.0
Clay,2053.0,647.0,748.0,21.0,1416.0
Clayton,193326.0,14841.0,93699.0,2505.0,111045.0
Clinch,4345.0,2083.0,660.0,54.0,2797.0
Cobb,537611.0,169658.0,210849.0,10263.0,390770.0
Coffee,25114.0,10424.0,4281.0,286.0,14991.0
Colquitt,25054.0,11644.0,3990.0,257.0,15891.0
Columbia,127380.0,50220.0,27759.0,1928.0,79907.0
Cook,10632.0,4864.0,1963.0,145.0,6972.0
Coweta,102110.0,51299.0,22915.0,1908.0,76122.0
Crawford,8512.0,4330.0,1561.0,135.0,6026.0
Crisp,12554.0,5054.0,2809.0,105.0,7968.0
Dade,11660.0,5871.0,1253.0,208.0,7332.0
Dawson,21529.0,13217.0,2289.0,418.0,15924.0
DeKalb,546711.0,61850.0,298373.0,7302.0,367525.0
Decatur,16618.0,6696.0,4563.0,190.0,11449.0
Dodge,11439.0,5793.0,2021.0,138.0,7952.0
Dooly,5949.0,2158.0,1826.0,75.0,4059.0
Dougherty,61172.0,10583.0,23822.0,502.0,34907.0
Douglas,102540.0,24878.0,41641.0,1634.0,68153.0
