County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Appling,11399.0,1686.0,3774.0,837.0,9.0,6306.0,352.0,845.0,553.0,3.0,1753.0,33.0,74.0,21.0,0.0,128.0,8187.0
Atkinson,4799.0,709.0,1392.0,170.0,1.0,2272.0,220.0,430.0,123.0,0.0,773.0,23.0,26.0,3.0,0.0,52.0,3097.0
Bacon,6720.0,417.0,3047.0,465.0,0.0,3929.0,127.0,276.0,187.0,1.0,591.0,24.0,37.0,9.0,0.0,70.0,4590.0
Baker,2258.0,289.0,451.0,131.0,2.0,873.0,145.0,273.0,230.0,0.0,648.0,4.0,7.0,2.0,0.0,13.0,1534.0
Baldwin,26721.0,1845.0,5733.0,1291.0,4.0,8873.0,1500.0,4445.0,2837.0,1.0,8783.0,110.0,223.0,93.0,0.0,426.0,18082.0
Banks,12898.0,1595.0,5048.0,982.0,11.0,7636.0,152.0,420.0,325.0,2.0,899.0,56.0,106.0,27.0,1.0,190.0,8725.0
Barrow,55605.0,5685.0,16606.0,4024.0,2.0,26317.0,1762.0,4966.0,3334.0,4.0,10066.0,361.0,589.0,243.0,0.0,1193.0,37576.0
Bartow,74409.0,9917.0,21209.0,5865.0,17.0,37008.0,2188.0,5318.0,4149.0,8.0,11663.0,482.0,587.0,291.0,1.0,1361.0,50032.0
Ben Hill,9854.0,427.0,3143.0,507.0,0.0,4077.0,338.0,1281.0,664.0,1.0,2284.0,25.0,63.0,28.0,0.0,116.0,6477.0
Berrien,11275.0,1789.0,3760.0,728.0,9.0,6286.0,324.0,548.0,331.0,1.0,1204.0,56.0,75.0,29.0,0.0,160.0,7650.0
