index,County,Precinct,Registered Voters,Justin Cabral (I) (Rep)_Election Day Votes,Justin Cabral (I) (Rep)_Advanced Voting Votes,Justin Cabral (I) (Rep)_Absentee by Mail Votes,Justin Cabral (I) (Rep)_Provisional Votes,Justin Cabral (I) (Rep)_Choice Total,Total,
0,Lowndes,Hahira Train Depot,5526,963,2097,382,11,3453,3453,
1,Lowndes,Trinity,10900,930,3324,933,31,5218,5218,
2,Lowndes,Northside,17467,1095,5753,1665,63,8576,8576,
3,Lowndes,Naylor,1291,254,411,80,1,746,746,
4,Lowndes,Rainwater,9877,793,3572,899,43,5307,5307,
5,Lowndes,Mildred,4283,247,615,271,9,1142,1142,
6,Lowndes,Clyattville,4755,703,1385,370,14,2472,2472,
7,Lowndes,Dasher,4255,660,1612,322,20,2614,2614,
8,Lowndes,S Lowndes,3967,783,1306,324,14,2427,2427,
9,Lowndes,VSU UC # 2,318,42,42,9,1,94,94,
10,Lowndes,Jaycee Shack,6273,338,1254,461,21,2074,2074,
11,Lowndes,Northgate Assembly,1997,126,468,107,18,719,719,
12,Lowndes,Mt Calvary,4447,173,523,182,40,918,918,
