index,County,Precinct,Registered Voters,Ashley Paulk (I) (Dem)_Election Day Votes,Ashley Paulk (I) (Dem)_Advanced Voting Votes,Ashley Paulk (I) (Dem)_Absentee by Mail Votes,Ashley Paulk (I) (Dem)_Provisional Votes,Ashley Paulk (I) (Dem)_Choice Total,Total,
0,Lowndes,Hahira Train Depot,5526,934,2117,442,11,3504,3504,
1,Lowndes,Trinity,10900,921,3656,1221,31,5829,5829,
2,Lowndes,Northside,17467,1148,6120,2073,84,9425,9425,
3,Lowndes,Naylor,1291,252,458,117,1,828,828,
4,Lowndes,Rainwater,9877,804,3743,1063,48,5658,5658,
5,Lowndes,Mildred,4283,357,960,549,20,1886,1886,
6,Lowndes,Clyattville,4755,688,1429,451,15,2583,2583,
7,Lowndes,Dasher,4255,630,1533,365,20,2548,2548,
8,Lowndes,S Lowndes,3967,757,1273,376,14,2420,2420,
9,Lowndes,VSU UC # 2,318,45,58,10,2,115,115,
10,Lowndes,Jaycee Shack,6273,427,1769,756,39,2991,2991,
11,Lowndes,Northgate Assembly,1997,129,508,134,18,789,789,
12,Lowndes,Mt Calvary,4447,229,887,345,64,1525,1525,
