index,County,Precinct,Registered Voters,Dexter L. Sharper (I) (Dem)_Election Day Votes,Dexter L. Sharper (I) (Dem)_Advanced Voting Votes,Dexter L. Sharper (I) (Dem)_Absentee by Mail Votes,Dexter L. Sharper (I) (Dem)_Provisional Votes,Dexter L. Sharper (I) (Dem)_Choice Total,Total,
0,Lowndes,Trinity,10900,291,1043,361,10,1705,1705,
1,Lowndes,Northside,17467,646,2468,1083,66,4263,4263,
2,Lowndes,Rainwater,9877,298,1009,407,11,1725,1725,
3,Lowndes,Mildred,4283,366,965,549,19,1899,1899,
4,Lowndes,Dasher,4255,47,177,44,0,268,268,
5,Lowndes,VSU UC # 2,318,47,58,10,2,117,117,
6,Lowndes,Jaycee Shack,6273,434,1772,781,40,3027,3027,
7,Lowndes,Mt Calvary,4447,237,932,359,66,1594,1594,
