index,County,Precinct,Registered Voters,James Burchett (I) (Rep)_Election Day Votes,James Burchett (I) (Rep)_Advanced Voting Votes,James Burchett (I) (Rep)_Absentee by Mail Votes,James Burchett (I) (Rep)_Provisional Votes,James Burchett (I) (Rep)_Choice Total,"Evans Primus, Jr. (Dem)_Election Day Votes","Evans Primus, Jr. (Dem)_Advanced Voting Votes","Evans Primus, Jr. (Dem)_Absentee by Mail Votes","Evans Primus, Jr. (Dem)_Provisional Votes","Evans Primus, Jr. (Dem)_Choice Total",Total,
0,Lowndes,Hahira Train Depot,5526,468,963,166,2,1599,45,176,85,4,310,1909,
1,Lowndes,Trinity,10900,418,1594,333,13,2358,199,997,534,13,1743,4101,
2,Lowndes,Northside,17467,21,171,28,1,221,5,37,16,1,59,280,
3,Lowndes,Naylor,1291,226,339,55,1,621,56,173,77,2,308,929,
4,Lowndes,Northgate Assembly,1997,95,354,67,15,531,48,222,85,6,361,892,
