index,County,Precinct,Registered Voters,Clay Griner (I) (Rep)_Election Day Votes,Clay Griner (I) (Rep)_Advanced Voting Votes,Clay Griner (I) (Rep)_Absentee by Mail Votes,Clay Griner (I) (Rep)_Provisional Votes,Clay Griner (I) (Rep)_Choice Total,Total,
0,Lowndes,Hahira Train Depot,5526,962,2086,382,9,3439,3439,
1,Lowndes,Trinity,10900,11,48,47,5,111,111,
2,Lowndes,Northside,17467,895,5160,1370,38,7463,7463,
3,Lowndes,Rainwater,9877,792,3560,888,39,5279,5279,
4,Lowndes,Clyattville,4755,705,1379,366,14,2464,2464,
5,Lowndes,Dasher,4255,197,511,107,11,826,826,
6,Lowndes,S Lowndes,3967,780,1297,324,15,2416,2416,
7,Lowndes,Northgate Assembly,1997,89,310,64,14,477,477,
