index,County,Precinct,Registered Voters,Rodney V. Cain (I) (Rep)_Election Day Votes,Rodney V. Cain (I) (Rep)_Advanced Voting Votes,Rodney V. Cain (I) (Rep)_Absentee by Mail Votes,Rodney V. Cain (I) (Rep)_Provisional Votes,Rodney V. Cain (I) (Rep)_Choice Total,Total,
0,Lowndes,Hahira Train Depot,5526,935,2049,386,10,3380,3380,
1,Lowndes,Trinity,10900,921,3303,933,29,5186,5186,
2,Lowndes,Northside,17467,1070,5608,1622,62,8362,8362,
3,Lowndes,Naylor,1291,256,395,81,1,733,733,
4,Lowndes,Rainwater,9877,794,3518,891,41,5244,5244,
5,Lowndes,Mildred,4283,248,621,262,10,1141,1141,
6,Lowndes,Clyattville,4755,684,1358,358,14,2414,2414,
7,Lowndes,Dasher,4255,657,1560,318,20,2555,2555,
8,Lowndes,S Lowndes,3967,775,1281,322,13,2391,2391,
9,Lowndes,VSU UC # 2,318,43,41,9,1,94,94,
10,Lowndes,Jaycee Shack,6273,343,1253,463,20,2079,2079,
11,Lowndes,Northgate Assembly,1997,125,462,106,17,710,710,
12,Lowndes,Mt Calvary,4447,177,528,175,39,919,919,
