index,County,Precinct,Registered Voters,Bill Slaughter (I) (Rep)_Election Day Votes,Bill Slaughter (I) (Rep)_Advanced Voting Votes,Bill Slaughter (I) (Rep)_Absentee by Mail Votes,Bill Slaughter (I) (Rep)_Provisional Votes,Bill Slaughter (I) (Rep)_Choice Total,Total,
0,Lowndes,Hahira Train Depot,5526,957,2075,391,12,3435,3435,
1,Lowndes,Trinity,10900,928,3301,927,31,5187,5187,
2,Lowndes,Northside,17467,1099,5713,1632,62,8506,8506,
3,Lowndes,Naylor,1291,256,404,81,1,742,742,
4,Lowndes,Rainwater,9877,793,3554,896,43,5286,5286,
5,Lowndes,Mildred,4283,246,606,274,10,1136,1136,
6,Lowndes,Clyattville,4755,703,1368,365,14,2450,2450,
7,Lowndes,Dasher,4255,657,1598,320,20,2595,2595,
8,Lowndes,S Lowndes,3967,779,1300,325,15,2419,2419,
9,Lowndes,VSU UC # 2,318,42,42,9,1,94,94,
10,Lowndes,Jaycee Shack,6273,335,1258,456,19,2068,2068,
11,Lowndes,Northgate Assembly,1997,126,465,111,18,720,720,
12,Lowndes,Mt Calvary,4447,171,519,181,40,911,911,
