index,County,Precinct,Registered Voters,Russ Goodman (Rep)_Election Day Votes,Russ Goodman (Rep)_Advanced Voting Votes,Russ Goodman (Rep)_Absentee by Mail Votes,Russ Goodman (Rep)_Provisional Votes,Russ Goodman (Rep)_Choice Total,Treva Gear (Dem)_Election Day Votes,Treva Gear (Dem)_Advanced Voting Votes,Treva Gear (Dem)_Absentee by Mail Votes,Treva Gear (Dem)_Provisional Votes,Treva Gear (Dem)_Choice Total,Total,
0,Lowndes,Hahira Train Depot,5526,874,1872,312,6,3064,165,454,204,7,830,3894,
1,Lowndes,Trinity,10900,655,2330,506,21,3512,409,1819,926,18,3172,6684,
2,Lowndes,Northside,17467,739,4489,1002,32,6262,532,2416,1412,68,4428,10690,
3,Lowndes,Naylor,1291,230,327,52,0,609,55,181,81,3,320,929,
4,Lowndes,Rainwater,9877,608,2876,600,29,4113,307,1332,658,22,2319,6432,
5,Lowndes,Mildred,4283,52,216,45,5,318,334,845,564,17,1760,2078,
6,Lowndes,Clyattville,4755,626,1208,269,14,2117,148,384,259,7,798,2915,
7,Lowndes,Dasher,4255,622,1478,258,18,2376,75,259,142,2,478,2854,
8,Lowndes,S Lowndes,3967,706,1171,237,14,2128,136,254,204,5,599,2727,
9,Lowndes,VSU UC # 2,318,5,11,0,0,16,43,48,10,2,103,119,
10,Lowndes,Jaycee Shack,6273,110,428,129,9,676,371,1539,735,36,2681,3357,
11,Lowndes,Northgate Assembly,1997,95,356,59,14,524,46,218,91,8,363,887,
12,Lowndes,Mt Calvary,4447,45,75,30,12,162,216,890,346,59,1511,1673,
