index,County,Precinct,Registered Voters,Beth Copeland Greene (I) (Rep)_Election Day Votes,Beth Copeland Greene (I) (Rep)_Advanced Voting Votes,Beth Copeland Greene (I) (Rep)_Absentee by Mail Votes,Beth Copeland Greene (I) (Rep)_Provisional Votes,Beth Copeland Greene (I) (Rep)_Choice Total,Total,
0,Lowndes,Hahira Train Depot,5526,957,2099,387,9,3452,3452,
1,Lowndes,Trinity,10900,923,3308,927,30,5188,5188,
2,Lowndes,Northside,17467,1088,5727,1643,63,8521,8521,
3,Lowndes,Naylor,1291,261,416,79,1,757,757,
4,Lowndes,Rainwater,9877,782,3575,890,41,5288,5288,
5,Lowndes,Mildred,4283,253,619,279,10,1161,1161,
6,Lowndes,Clyattville,4755,700,1375,368,14,2457,2457,
7,Lowndes,Dasher,4255,666,1601,327,18,2612,2612,
8,Lowndes,S Lowndes,3967,780,1296,324,15,2415,2415,
9,Lowndes,VSU UC # 2,318,43,42,9,1,95,95,
10,Lowndes,Jaycee Shack,6273,336,1265,474,22,2097,2097,
11,Lowndes,Northgate Assembly,1997,124,469,107,18,718,718,
12,Lowndes,Mt Calvary,4447,173,541,180,37,931,931,
