index,County,Precinct,Registered Voters,Cinda S. Bright (I) (Dem)_Election Day Votes,Cinda S. Bright (I) (Dem)_Advanced Voting Votes,Cinda S. Bright (I) (Dem)_Absentee by Mail Votes,Cinda S. Bright (I) (Dem)_Provisional Votes,Cinda S. Bright (I) (Dem)_Choice Total,Total,
0,Wilkinson,Bloodworth,434,138,89,26,0,253,253,
1,Wilkinson,Griffin,184,71,30,25,0,126,126,
2,Wilkinson,High Hill,173,64,29,15,0,108,108,
3,Wilkinson,Irwinton,875,96,338,108,1,543,543,
4,Wilkinson,Ivey,960,260,180,54,2,496,496,
5,Wilkinson,Lord,735,177,186,92,0,455,455,
6,Wilkinson,Midway,938,114,299,179,3,595,595,
7,Wilkinson,Ramah,1709,374,476,223,0,1073,1073,
8,Wilkinson,Turkey Creek,462,150,84,32,0,266,266,
