index,County,Precinct,Registered Voters,Danny Mathis (I) (Rep)_Election Day Votes,Danny Mathis (I) (Rep)_Advanced Voting Votes,Danny Mathis (I) (Rep)_Absentee by Mail Votes,Danny Mathis (I) (Rep)_Provisional Votes,Danny Mathis (I) (Rep)_Choice Total,Mary Whipple-Lue (Dem)_Election Day Votes,Mary Whipple-Lue (Dem)_Advanced Voting Votes,Mary Whipple-Lue (Dem)_Absentee by Mail Votes,Mary Whipple-Lue (Dem)_Provisional Votes,Mary Whipple-Lue (Dem)_Choice Total,Total,
0,Wilkinson,Bloodworth,434,187,106,24,0,317,8,8,8,0,24,341,
1,Wilkinson,Griffin,184,77,32,12,0,121,12,5,14,0,31,152,
2,Wilkinson,High Hill,173,73,29,8,0,110,8,12,6,0,26,136,
3,Wilkinson,Irwinton,875,78,203,30,1,312,40,185,99,0,324,636,
4,Wilkinson,Ivey,960,310,202,48,2,562,21,28,15,0,64,626,
5,Wilkinson,Lord,735,154,140,26,0,320,68,82,59,0,209,529,
6,Wilkinson,Midway,938,29,87,15,1,132,90,233,170,2,495,627,
7,Wilkinson,Ramah,1709,252,282,92,0,626,178,244,150,0,572,1198,
8,Wilkinson,Turkey Creek,462,157,74,22,0,253,37,33,14,0,84,337,
