index,County,Precinct,Registered Voters,Donnie Brooks (I) (Dem)_Election Day Votes,Donnie Brooks (I) (Dem)_Advanced Voting Votes,Donnie Brooks (I) (Dem)_Absentee by Mail Votes,Donnie Brooks (I) (Dem)_Provisional Votes,Donnie Brooks (I) (Dem)_Choice Total,Total,
0,Wilkinson,Bloodworth,434,127,75,26,0,228,228,
1,Wilkinson,Griffin,184,67,28,24,0,119,119,
2,Wilkinson,High Hill,173,60,24,14,0,98,98,
3,Wilkinson,Irwinton,875,94,316,105,1,516,516,
4,Wilkinson,Ivey,960,256,167,54,2,479,479,
5,Wilkinson,Lord,735,159,173,83,0,415,415,
6,Wilkinson,Midway,938,107,275,167,3,552,552,
7,Wilkinson,Ramah,1709,363,445,214,0,1022,1022,
8,Wilkinson,Turkey Creek,462,129,73,31,0,233,233,
