index,County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
0,Wilkinson,Bloodworth,434,188,101,24,0,313,8,14,10,0,32,345,
1,Wilkinson,Griffin,184,78,32,12,0,122,12,5,13,0,30,152,
2,Wilkinson,High Hill,173,72,29,9,0,110,8,10,6,0,24,134,
3,Wilkinson,Irwinton,875,75,198,27,1,301,42,192,102,0,336,637,
4,Wilkinson,Ivey,960,295,191,46,2,534,35,36,21,0,92,626,
5,Wilkinson,Lord,735,148,140,26,0,314,64,83,68,0,215,529,
6,Wilkinson,Midway,938,31,81,13,1,126,87,240,176,2,505,631,
7,Wilkinson,Ramah,1709,238,264,86,0,588,192,268,165,0,625,1213,
8,Wilkinson,Turkey Creek,462,150,73,20,0,243,42,32,18,0,92,335,
