index,County,Precinct,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,
0,Wilkinson,Bloodworth,434,93,57,18,0,168,168,
1,Wilkinson,Griffin,184,54,20,22,0,96,96,
2,Wilkinson,High Hill,173,47,20,15,0,82,82,
3,Wilkinson,Irwinton,875,79,278,96,1,454,454,
4,Wilkinson,Ivey,960,181,114,35,1,331,331,
5,Wilkinson,Lord,735,136,158,73,0,367,367,
6,Wilkinson,Midway,938,105,266,177,3,551,551,
7,Wilkinson,Ramah,1709,303,380,195,0,878,878,
8,Wilkinson,Turkey Creek,462,104,63,27,0,194,194,
