index,County,Precinct,Registered Voters,Billy Matthews (I) (Rep)_Election Day Votes,Billy Matthews (I) (Rep)_Advanced Voting Votes,Billy Matthews (I) (Rep)_Absentee by Mail Votes,Billy Matthews (I) (Rep)_Provisional Votes,Billy Matthews (I) (Rep)_Choice Total,David C. Austin (Dem)_Election Day Votes,David C. Austin (Dem)_Advanced Voting Votes,David C. Austin (Dem)_Absentee by Mail Votes,David C. Austin (Dem)_Provisional Votes,David C. Austin (Dem)_Choice Total,Total,
0,Wilkinson,Bloodworth,434,188,104,25,0,317,8,11,9,0,28,345,
1,Wilkinson,Griffin,184,83,33,13,0,129,9,4,12,0,25,154,
2,Wilkinson,High Hill,173,70,28,10,0,108,9,11,4,0,24,132,
3,Wilkinson,Irwinton,875,86,228,34,1,349,32,170,96,0,298,647,
4,Wilkinson,Ivey,960,318,199,53,2,572,17,34,15,0,66,638,
5,Wilkinson,Lord,735,160,156,32,0,348,60,69,65,0,194,542,
6,Wilkinson,Midway,938,49,120,35,1,205,73,211,153,2,439,644,
7,Wilkinson,Ramah,1709,280,308,101,0,689,162,229,154,0,545,1234,
8,Wilkinson,Turkey Creek,462,157,75,23,0,255,41,33,14,0,88,343,
