index,County,Precinct,Registered Voters,Roger L. Smith (I) (Dem)_Election Day Votes,Roger L. Smith (I) (Dem)_Advanced Voting Votes,Roger L. Smith (I) (Dem)_Absentee by Mail Votes,Roger L. Smith (I) (Dem)_Provisional Votes,Roger L. Smith (I) (Dem)_Choice Total,Total,
0,Wilkinson,Bloodworth,434,117,71,23,0,211,211,
1,Wilkinson,Griffin,184,64,21,24,0,109,109,
2,Wilkinson,High Hill,173,58,23,14,0,95,95,
3,Wilkinson,Irwinton,875,85,317,107,1,510,510,
4,Wilkinson,Ivey,960,217,145,45,2,409,409,
5,Wilkinson,Lord,735,154,174,87,0,415,415,
6,Wilkinson,Midway,938,107,278,182,3,570,570,
7,Wilkinson,Ramah,1709,350,420,211,0,981,981,
8,Wilkinson,Turkey Creek,462,125,69,29,0,223,223,
