index,County,Precinct,Registered Voters,John Hogue_Election Day Votes,John Hogue_Advanced Voting Votes,John Hogue_Absentee by Mail Votes,John Hogue_Provisional Votes,John Hogue_Choice Total,Total,
0,Wilkinson,Bloodworth,434,142,82,22,0,246,246,
1,Wilkinson,Griffin,184,72,26,23,0,121,121,
2,Wilkinson,High Hill,173,59,28,14,0,101,101,
3,Wilkinson,Irwinton,875,83,288,85,1,457,457,
4,Wilkinson,Ivey,960,265,176,51,2,494,494,
5,Wilkinson,Lord,735,150,170,76,0,396,396,
6,Wilkinson,Midway,938,101,220,123,3,447,447,
7,Wilkinson,Ramah,1709,341,427,192,0,960,960,
8,Wilkinson,Turkey Creek,462,132,81,27,0,240,240,
