index,County,Precinct,Registered Voters,Evelyn S. Hubbard (I) (Dem)_Election Day Votes,Evelyn S. Hubbard (I) (Dem)_Advanced Voting Votes,Evelyn S. Hubbard (I) (Dem)_Absentee by Mail Votes,Evelyn S. Hubbard (I) (Dem)_Provisional Votes,Evelyn S. Hubbard (I) (Dem)_Choice Total,Total,
0,Screven,Sylvania,0,110,369,189,1,669,669,
1,Screven,Hunters,0,90,127,61,8,286,286,
2,Screven,Newington,0,243,263,88,0,594,594,
3,Screven,Jenk Hill Fire Sta,0,149,344,131,1,625,625,
4,Screven,Rocky Ford,0,96,135,61,0,292,292,
5,Screven,Bay Branch,0,162,285,67,1,515,515,
6,Screven,Hiltonia,0,148,266,94,0,508,508,
7,Screven,Screven Rec Dept,0,57,116,58,3,234,234,
8,Screven,Greenhill Church,0,164,231,72,0,467,467,
9,Screven,Sr Citizens Center,0,159,369,154,0,682,682,
10,Screven,Jackson Fire Station,0,98,75,48,0,221,221,
11,Screven,Cooperville Fire Station,0,30,84,45,3,162,162,
