index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Screven,Sylvania,0,74,269,101,0,444,60,176,116,1,353,797,
1,Screven,Hunters,0,88,99,30,8,225,25,49,47,1,122,347,
2,Screven,Newington,0,227,228,51,0,506,72,104,62,0,238,744,
3,Screven,Jenk Hill Fire Sta,0,96,235,60,1,392,78,204,101,0,383,775,
4,Screven,Rocky Ford,0,113,138,44,0,295,18,31,28,0,77,372,
5,Screven,Bay Branch,0,198,351,65,1,615,14,49,20,0,83,698,
6,Screven,Hiltonia,0,91,210,26,0,327,76,115,77,0,268,595,
7,Screven,Screven Rec Dept,0,33,75,15,0,123,37,60,49,3,149,272,
8,Screven,Greenhill Church,0,165,265,53,0,483,38,56,43,0,137,620,
9,Screven,Sr Citizens Center,0,51,175,59,0,285,119,251,119,0,489,774,
10,Screven,Jackson Fire Station,0,108,83,25,0,216,15,20,37,0,72,288,
11,Screven,Cooperville Fire Station,0,20,29,10,1,60,16,65,40,2,123,183,
