index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Screven,Sylvania,0,72,255,92,0,419,54,175,118,1,348,5,6,4,0,15,782,
1,Screven,Hunters,0,86,94,29,5,214,25,48,46,1,120,0,3,0,2,5,339,
2,Screven,Newington,0,223,213,47,0,483,70,96,64,0,230,4,6,1,0,11,724,
3,Screven,Jenk Hill Fire Sta,0,90,221,55,1,367,72,209,99,0,380,8,5,2,0,15,762,
4,Screven,Rocky Ford,0,106,134,41,0,281,20,33,27,0,80,1,0,0,0,1,362,
5,Screven,Bay Branch,0,183,326,63,1,573,14,52,20,0,86,5,8,0,0,13,672,
6,Screven,Hiltonia,0,87,203,22,0,312,83,113,79,0,275,2,2,0,0,4,591,
7,Screven,Screven Rec Dept,0,27,73,17,0,117,38,58,49,3,148,4,1,0,0,5,270,
8,Screven,Greenhill Church,0,158,251,48,0,457,35,55,41,0,131,4,3,1,0,8,596,
9,Screven,Sr Citizens Center,0,47,164,52,0,263,119,248,121,0,488,3,6,2,0,11,762,
10,Screven,Jackson Fire Station,0,98,76,22,0,196,17,19,34,0,70,2,1,2,0,5,271,
11,Screven,Cooperville Fire Station,0,18,28,8,1,55,15,63,42,2,122,2,0,0,0,2,179,
