County,Rich McCormick (Rep)_Election Day Votes,Rich McCormick (Rep)_Absentee by Mail Votes,Rich McCormick (Rep)_Advanced Voting Votes,Rich McCormick (Rep)_Provisional Votes,Rich McCormick (Rep)_TOTAL VOTES,Carolyn Bourdeaux (Dem)_Election Day Votes,Carolyn Bourdeaux (Dem)_Absentee by Mail Votes,Carolyn Bourdeaux (Dem)_Advanced Voting Votes,Carolyn Bourdeaux (Dem)_Provisional Votes,Carolyn Bourdeaux (Dem)_TOTAL VOTES,Total,
Forsyth,6226,11577,41106,18,58927,2369,11905,17306,16,31596,90523,
Gwinnett,26509,31132,63839,157,121637,24977,54100,79978,249,159304,280941,
