County,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_TOTAL VOTES,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_TOTAL VOTES,Total,
Clayton,1286,1429,2968,18,5701,6459,8735,17632,134,32960,38661,
DeKalb,2316,3384,5160,42,10902,7389,30967,42264,218,80838,91740,
Fulton,6037,8185,21309,346,35877,20919,54576,109630,1423,186548,222425,
