index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Spalding,01,2260,56,49,37,10,152,250,286,285,38,859,4,2,0,0,6,1017,
1,Spalding,02,1956,40,47,21,8,116,276,274,278,16,844,2,4,1,0,7,967,
2,Spalding,03,2774,241,833,298,144,1516,69,257,193,56,575,9,10,3,7,29,2120,
3,Spalding,05,3715,163,442,201,69,875,237,527,332,94,1190,11,2,3,2,18,2083,
4,Spalding,06,2438,62,143,76,11,292,254,370,313,15,952,2,3,6,0,11,1255,
5,Spalding,07,1705,316,451,182,15,964,71,152,100,4,327,10,7,5,1,23,1314,
6,Spalding,08,1789,255,476,190,18,939,87,147,121,7,362,10,4,2,0,16,1317,
7,Spalding,09,1950,375,512,193,26,1106,46,76,78,6,206,6,5,2,0,13,1325,
8,Spalding,10,1981,272,471,158,9,910,139,228,155,15,537,7,4,1,0,12,1459,
9,Spalding,11,2506,414,597,164,20,1195,159,249,196,11,615,10,7,2,0,19,1829,
10,Spalding,12,2163,444,621,214,27,1306,51,112,113,3,279,12,4,7,0,23,1608,
11,Spalding,13,2586,574,599,226,46,1445,56,107,80,6,249,7,2,0,1,10,1704,
12,Spalding,14,1985,366,291,140,20,817,126,123,108,7,364,9,3,0,0,12,1193,
13,Spalding,16,4596,184,445,196,24,849,338,713,651,53,1755,8,4,6,0,18,2622,
14,Spalding,17,2011,259,383,94,19,755,106,150,133,8,397,4,4,0,1,9,1161,
15,Spalding,19,2664,398,668,252,16,1334,129,225,174,9,537,7,2,5,0,14,1885,
16,Spalding,20,2190,469,593,169,21,1252,53,87,93,5,238,7,1,1,0,9,1499,
17,Spalding,21,4716,346,1180,679,29,2234,107,517,861,13,1498,7,10,9,0,26,3758,
