index,County,Precinct,Registered Voters,Karen Mathiak (I) (Rep)_Election Day Votes,Karen Mathiak (I) (Rep)_Advanced Voting Votes,Karen Mathiak (I) (Rep)_Absentee by Mail Votes,Karen Mathiak (I) (Rep)_Provisional Votes,Karen Mathiak (I) (Rep)_Choice Total,William Harris (Dem)_Election Day Votes,William Harris (Dem)_Advanced Voting Votes,William Harris (Dem)_Absentee by Mail Votes,William Harris (Dem)_Provisional Votes,William Harris (Dem)_Choice Total,Total,
0,Spalding,05,3715,25,53,42,2,122,49,115,55,0,219,341,
1,Spalding,08,1789,257,487,205,18,967,92,135,99,7,333,1300,
2,Spalding,10,1981,277,481,161,10,929,134,211,140,12,497,1426,
3,Spalding,12,2163,439,616,218,25,1298,57,112,106,4,279,1577,
4,Spalding,13,2586,570,593,232,44,1439,63,104,66,5,238,1677,
5,Spalding,14,1985,372,291,138,19,820,115,118,102,7,342,1162,
6,Spalding,16,4596,190,445,198,19,852,328,685,634,46,1693,2545,
7,Spalding,19,2664,389,639,234,1,1263,125,203,160,5,493,1756,
