index,County,Precinct,Registered Voters,Tyler Brannon (Rep)_Election Day Votes,Tyler Brannon (Rep)_Advanced Voting Votes,Tyler Brannon (Rep)_Absentee by Mail Votes,Tyler Brannon (Rep)_Provisional Votes,Tyler Brannon (Rep)_Choice Total,Rita Johnson (I) (Dem)_Election Day Votes,Rita Johnson (I) (Dem)_Advanced Voting Votes,Rita Johnson (I) (Dem)_Absentee by Mail Votes,Rita Johnson (I) (Dem)_Provisional Votes,Rita Johnson (I) (Dem)_Choice Total,Total,
0,Spalding,01,2260,55,49,27,7,138,249,282,280,38,849,987,
1,Spalding,05,3715,55,125,49,52,281,104,226,118,84,532,813,
2,Spalding,06,2438,42,97,46,5,190,254,348,287,7,896,1086,
3,Spalding,08,1789,142,56,11,0,209,71,63,42,5,181,390,
4,Spalding,10,1981,179,184,44,7,414,113,101,62,9,285,699,
