index,County,Precinct,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
0,Spalding,01,2260,53,51,35,12,151,246,265,275,35,821,972,
1,Spalding,02,1956,37,43,20,9,109,267,260,268,15,810,919,
2,Spalding,03,2774,257,856,317,155,1585,56,221,167,45,489,2074,
3,Spalding,05,3715,174,444,203,71,892,223,497,310,89,1119,2011,
4,Spalding,06,2438,63,138,84,11,296,242,348,298,14,902,1198,
5,Spalding,07,1705,329,453,189,16,987,62,144,92,4,302,1289,
6,Spalding,08,1789,261,480,202,17,960,86,138,105,7,336,1296,
7,Spalding,09,1950,372,501,189,24,1086,43,76,78,7,204,1290,
8,Spalding,10,1981,277,472,157,10,916,131,216,142,11,500,1416,
9,Spalding,11,2506,420,595,175,19,1209,148,236,182,9,575,1784,
10,Spalding,12,2163,435,619,220,27,1301,55,108,104,3,270,1571,
11,Spalding,13,2586,569,594,228,45,1436,61,98,69,6,234,1670,
12,Spalding,14,1985,364,285,137,20,806,117,111,101,6,335,1141,
13,Spalding,16,4596,185,440,193,21,839,328,675,637,48,1688,2527,
14,Spalding,17,2011,254,372,95,17,738,107,143,123,8,381,1119,
15,Spalding,19,2664,398,663,253,15,1329,122,217,163,10,512,1841,
16,Spalding,20,2190,465,587,171,21,1244,50,79,81,4,214,1458,
17,Spalding,21,4716,351,1187,731,29,2298,103,487,778,11,1379,3677,
