County,Melanie Williams (Rep)_Election Day Votes,Melanie Williams (Rep)_Absentee by Mail Votes,Melanie Williams (Rep)_Advanced Voting Votes,Melanie Williams (Rep)_Provisional Votes,Melanie Williams (Rep)_TOTAL VOTES,Tonya P. Anderson (I) (Dem)_Election Day Votes,Tonya P. Anderson (I) (Dem)_Absentee by Mail Votes,Tonya P. Anderson (I) (Dem)_Advanced Voting Votes,Tonya P. Anderson (I) (Dem)_Provisional Votes,Tonya P. Anderson (I) (Dem)_TOTAL VOTES,Total,
DeKalb,232,317,566,2,1117,2756,6202,12745,48,21751,22868,
Newton,3893,2398,3769,6,10066,4781,7353,9027,15,21176,31242,
Rockdale,1485,2086,4935,12,8518,2868,7367,14643,17,24895,33413,
