County,Marty Harbin (I) (Rep)_Election Day Votes,Marty Harbin (I) (Rep)_Absentee by Mail Votes,Marty Harbin (I) (Rep)_Advanced Voting Votes,Marty Harbin (I) (Rep)_Provisional Votes,Marty Harbin (I) (Rep)_TOTAL VOTES,Cinquez Jester (Dem)_Election Day Votes,Cinquez Jester (Dem)_Absentee by Mail Votes,Cinquez Jester (Dem)_Advanced Voting Votes,Cinquez Jester (Dem)_Provisional Votes,Cinquez Jester (Dem)_TOTAL VOTES,Total,
Fayette,5334,6209,19432,0,30975,1632,5246,8480,0,15358,46333,
Lamar,1750,838,3773,7,6368,446,863,1101,2,2412,8780,
Pike,2325,941,5809,0,9075,253,480,627,0,1360,10435,
Spalding,5203,3570,8701,532,18006,2461,3942,4337,332,11072,29078,
