County,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_TOTAL VOTES",Total,
Bibb,6577,8998,13157,76,28808,28808,
Hancock,709,1179,1276,2,3166,3166,
Houston,806,1073,1058,1,2938,2938,
Jones,1249,1311,3076,2,5638,5638,
Twiggs,855,808,1428,3,3094,3094,
Washington,1729,2045,2873,8,6655,6655,
Wilkinson,1102,658,1356,5,3121,3121,
