County,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_TOTAL VOTES,Total,
Appling,1821,1069,4070,10,6970,6970,
Jeff Davis,1470,613,2799,0,4882,4882,
Liberty,703,733,1891,0,3327,3327,
Long,1319,490,2627,14,4450,4450,
Montgomery,1193,465,1622,0,3280,3280,
Tattnall,953,629,2384,0,3966,3966,
Telfair,1020,453,1636,4,3113,3113,
Toombs,2090,1620,5344,6,9060,9060,
Treutlen,454,378,1543,0,2375,2375,
Wayne,2662,1645,6663,8,10978,10978,
Wheeler,522,242,1025,0,1789,1789,
