County,John F. Kennedy (I) (Rep)_Election Day Votes,John F. Kennedy (I) (Rep)_Absentee by Mail Votes,John F. Kennedy (I) (Rep)_Advanced Voting Votes,John F. Kennedy (I) (Rep)_Provisional Votes,John F. Kennedy (I) (Rep)_TOTAL VOTES,Total,
Bibb,6928,5281,12084,32,24325,24325,
Crawford,1296,775,3034,2,5107,5107,
Houston,2494,2322,4244,0,9060,9060,
Monroe,3428,1630,7922,7,12987,12987,
Peach,1425,1442,6291,13,9171,9171,
Upson,1720,1888,6945,4,10557,10557,
