County,Benjamin Brooks (Rep)_Election Day Votes,Benjamin Brooks (Rep)_Absentee by Mail Votes,Benjamin Brooks (Rep)_Advanced Voting Votes,Benjamin Brooks (Rep)_Provisional Votes,Benjamin Brooks (Rep)_TOTAL VOTES,Gail Davenport (I) (Dem)_Election Day Votes,Gail Davenport (I) (Dem)_Absentee by Mail Votes,Gail Davenport (I) (Dem)_Advanced Voting Votes,Gail Davenport (I) (Dem)_Provisional Votes,Gail Davenport (I) (Dem)_TOTAL VOTES,Total,
Clayton,1684,2364,4891,14,8953,7629,14350,28261,123,50363,59316,
DeKalb,346,405,693,8,1452,3136,9317,14708,68,27229,28681,
