County,Gloria S. Butler (I) (Dem)_Election Day Votes,Gloria S. Butler (I) (Dem)_Absentee by Mail Votes,Gloria S. Butler (I) (Dem)_Advanced Voting Votes,Gloria S. Butler (I) (Dem)_Provisional Votes,Gloria S. Butler (I) (Dem)_TOTAL VOTES,Total,
DeKalb,5207,12866,21579,141,39793,39793,
Gwinnett,6512,13185,26074,55,45826,45826,
