County,Brian Strickland (I) (Rep)_Election Day Votes,Brian Strickland (I) (Rep)_Absentee by Mail Votes,Brian Strickland (I) (Rep)_Advanced Voting Votes,Brian Strickland (I) (Rep)_Provisional Votes,Brian Strickland (I) (Rep)_TOTAL VOTES,Kelly Rose (Dem)_Election Day Votes,Kelly Rose (Dem)_Absentee by Mail Votes,Kelly Rose (Dem)_Advanced Voting Votes,Kelly Rose (Dem)_Provisional Votes,Kelly Rose (Dem)_TOTAL VOTES,Total,
Henry,6358,5337,22661,12,34368,4673,10434,21245,32,36384,70752,
Newton,6892,2555,4286,5,13738,2017,2848,3286,3,8154,21892,
Rockdale,966,953,2427,1,4347,726,1839,3405,0,5970,10317,
