County,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_TOTAL VOTES,Total,
Chattahoochee,279,217,528,0,1024,1024,
Macon,790,697,1801,0,3288,3288,
Marion,594,599,1212,0,2405,2405,
Muscogee,5283,12019,18623,23,35948,35948,
Schley,217,204,765,1,1187,1187,
Talbot,761,968,891,1,2621,2621,
Taylor,430,575,1472,7,2484,2484,
