County,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_TOTAL VOTES,Total,
Columbia,12397,8506,30484,50,51437,51437,
Elbert,2024,1394,3915,0,7333,7333,
Hart,2568,1792,6140,2,10502,10502,
Lincoln,1025,633,2028,0,3686,3686,
Oglethorpe,1241,1205,3968,2,6416,6416,
Richmond,62,97,160,0,319,319,
Taliaferro,132,97,258,0,487,487,
Wilkes,923,706,1958,7,3594,3594,
