County,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_TOTAL VOTES,Total,
Catoosa,5623,3683,18021,21,27348,27348,
Chattooga,2301,1231,4329,2,7863,7863,
Dade,2005,724,3367,5,6101,6101,
Walker,5923,4258,14563,8,24752,24752,
