County,Emanuel Jones (I) (Dem)_Election Day Votes,Emanuel Jones (I) (Dem)_Absentee by Mail Votes,Emanuel Jones (I) (Dem)_Advanced Voting Votes,Emanuel Jones (I) (Dem)_Provisional Votes,Emanuel Jones (I) (Dem)_TOTAL VOTES,Total,
DeKalb,5365,14309,24327,95,44096,44096,
Henry,4337,10899,25613,29,40878,40878,
