County,Russ Goodman (Rep)_Election Day Votes,Russ Goodman (Rep)_Absentee by Mail Votes,Russ Goodman (Rep)_Advanced Voting Votes,Russ Goodman (Rep)_Provisional Votes,Russ Goodman (Rep)_TOTAL VOTES,Treva Gear (Dem)_Election Day Votes,Treva Gear (Dem)_Absentee by Mail Votes,Treva Gear (Dem)_Advanced Voting Votes,Treva Gear (Dem)_Provisional Votes,Treva Gear (Dem)_TOTAL VOTES,Total,
Brooks,1389,539,2278,3,4209,499,1052,1093,3,2647,6856,
Clinch,632,231,1303,1,2167,164,123,265,0,552,2719,
Cook,1081,490,3208,0,4779,567,505,1027,1,2100,6879,
Echols,210,121,904,0,1235,32,26,99,0,157,1392,
Lanier,489,274,1766,0,2529,180,266,489,0,935,3464,
Lowndes,5367,3499,16837,174,25877,2837,5632,10639,254,19362,45239,
Thomas,669,306,1553,0,2528,212,319,535,0,1066,3594,
