County,Chuck Hufstetler (I) (Rep)_Election Day Votes,Chuck Hufstetler (I) (Rep)_Absentee by Mail Votes,Chuck Hufstetler (I) (Rep)_Advanced Voting Votes,Chuck Hufstetler (I) (Rep)_Provisional Votes,Chuck Hufstetler (I) (Rep)_TOTAL VOTES,Charles DeYoung (Dem)_Election Day Votes,Charles DeYoung (Dem)_Absentee by Mail Votes,Charles DeYoung (Dem)_Advanced Voting Votes,Charles DeYoung (Dem)_Provisional Votes,Charles DeYoung (Dem)_TOTAL VOTES,Total,
Bartow,4336,2569,8949,6,15860,810,1563,2005,1,4379,20239,
Chattooga,272,87,386,1,746,45,57,76,0,178,924,
Floyd,7875,5120,14980,107,28082,2091,3168,4140,17,9416,37498,
Gordon,3235,1594,5947,7,10783,666,896,1321,1,2884,13667,
