County,Larry Walker (I) (Rep)_Election Day Votes,Larry Walker (I) (Rep)_Absentee by Mail Votes,Larry Walker (I) (Rep)_Advanced Voting Votes,Larry Walker (I) (Rep)_Provisional Votes,Larry Walker (I) (Rep)_TOTAL VOTES,Julius Newberry Johnson (Dem)_Election Day Votes,Julius Newberry Johnson (Dem)_Absentee by Mail Votes,Julius Newberry Johnson (Dem)_Advanced Voting Votes,Julius Newberry Johnson (Dem)_Provisional Votes,Julius Newberry Johnson (Dem)_TOTAL VOTES,Total,
Bleckley,955,639,2788,2,4384,269,389,540,0,1198,5582,
Houston,9957,7289,18867,39,36152,4127,7653,9623,28,21431,57583,
Laurens,5616,2458,6518,3,14595,1760,2526,3203,3,7492,22087,
Pulaski,326,332,2157,0,2815,167,308,661,0,1136,3951,
