County,Bruce Thompson (I) (Rep)_Election Day Votes,Bruce Thompson (I) (Rep)_Absentee by Mail Votes,Bruce Thompson (I) (Rep)_Advanced Voting Votes,Bruce Thompson (I) (Rep)_Provisional Votes,Bruce Thompson (I) (Rep)_TOTAL VOTES,Travis Johnson (Dem)_Election Day Votes,Travis Johnson (Dem)_Absentee by Mail Votes,Travis Johnson (Dem)_Advanced Voting Votes,Travis Johnson (Dem)_Provisional Votes,Travis Johnson (Dem)_TOTAL VOTES,Total,
Bartow,5709,3508,12351,9,21577,1363,2592,3212,5,7172,28749,
Cherokee,9864,7743,21062,3,38672,2731,6132,6982,4,15849,54521,
Cobb,1724,1779,2779,2,6284,865,2306,2310,3,5484,11768,
