County,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_TOTAL VOTES,Total,
Brantley,1935,726,4176,7,6844,6844,
Camden,4211,3253,11166,4,18634,18634,
Charlton,615,315,1491,0,2421,2421,
Glynn,5705,6010,19359,36,31110,31110,
McIntosh,1011,1103,2767,1,4882,4882,
