index,County,Precinct,Registered Voters,Alan Cole (Rep)_Election Day Votes,Alan Cole (Rep)_Advanced Voting Votes,Alan Cole (Rep)_Absentee by Mail Votes,Alan Cole (Rep)_Provisional Votes,Alan Cole (Rep)_Choice Total,Matthew Wilson (I) (Dem)_Election Day Votes,Matthew Wilson (I) (Dem)_Advanced Voting Votes,Matthew Wilson (I) (Dem)_Absentee by Mail Votes,Matthew Wilson (I) (Dem)_Provisional Votes,Matthew Wilson (I) (Dem)_Choice Total,Total,
0,Fulton,SS07C,809,18,134,76,2,230,14,112,139,11,276,506,
1,Fulton,SS08A,1891,79,227,68,10,384,103,563,207,6,879,1263,
2,Fulton,SS08D,1555,52,204,80,0,336,53,413,213,0,679,1015,
3,Fulton,SS11C,361,7,23,5,0,35,25,106,26,1,158,193,
4,Fulton,SS12,2897,126,605,286,3,1020,69,665,434,6,1174,2194,
5,Fulton,SS14,1412,86,478,141,1,706,12,255,175,0,442,1148,
6,Fulton,SS29A,2842,124,446,196,5,771,99,737,404,2,1242,2013,
