index,County,Precinct,Registered Voters,"Patrick """"Pat"""" Labat (Dem)_Election Day Votes","Patrick """"Pat"""" Labat (Dem)_Advanced Voting Votes","Patrick """"Pat"""" Labat (Dem)_Absentee by Mail Votes","Patrick """"Pat"""" Labat (Dem)_Provisional Votes","Patrick """"Pat"""" Labat (Dem)_Choice Total",Total,
200,Fulton,CP05B,153,19,39,9,4,71,71,
201,Fulton,CP06A,732,52,129,38,1,220,220,
202,Fulton,CP07B,7,2,2,0,0,4,4,
203,Fulton,CP07C,323,18,46,10,0,74,74,
204,Fulton,CP07D,790,63,130,37,0,230,230,
205,Fulton,CP07E,127,19,19,3,0,41,41,
206,Fulton,CP07F,266,23,36,6,0,65,65,
207,Fulton,CP081,373,32,54,15,3,104,104,
208,Fulton,CP083,240,11,19,3,0,33,33,
209,Fulton,CP084,1,0,0,0,0,0,0,
210,Fulton,CP08A,756,64,86,27,0,177,177,
211,Fulton,EP01A,2978,183,966,339,14,1502,1502,
212,Fulton,EP01B,3473,218,940,439,9,1606,1606,
213,Fulton,EP02A,2407,158,547,310,21,1036,1036,
214,Fulton,EP02B,1679,92,629,286,1,1008,1008,
215,Fulton,EP02C,522,17,194,65,0,276,276,
216,Fulton,EP02D,420,30,158,48,0,236,236,
217,Fulton,EP02E,1668,103,438,157,0,698,698,
218,Fulton,EP03A,4925,319,1549,816,6,2690,2690,
219,Fulton,EP03B,1547,79,597,338,4,1018,1018,
220,Fulton,EP04A,5020,468,1321,660,31,2480,2480,
221,Fulton,EP04B,2624,149,1065,272,8,1494,1494,
222,Fulton,EP04C,1318,0,395,38,4,437,437,
223,Fulton,FA01A,4032,240,1453,605,16,2314,2314,
224,Fulton,FA01B,5860,29,2284,848,8,3169,3169,
225,Fulton,FA01C,769,62,296,105,1,464,464,
226,Fulton,FA01D,321,18,122,8,14,162,162,
227,Fulton,FC01,325,21,131,25,2,179,179,
228,Fulton,FC02,585,14,28,8,2,52,52,
229,Fulton,FC03,17,0,8,0,7,15,15,
230,Fulton,HP01,3824,330,988,458,5,1781,1781,
231,Fulton,JC01,4128,229,1434,1013,6,2682,2682,
232,Fulton,JC01A,1738,133,548,124,5,810,810,
233,Fulton,JC02,3001,162,884,577,6,1629,1629,
234,Fulton,JC03A,594,28,258,72,1,359,359,
235,Fulton,JC03B,1616,111,572,279,0,962,962,
236,Fulton,JC04A,3177,93,1238,586,11,1928,1928,
237,Fulton,JC04B,334,9,113,51,0,173,173,
238,Fulton,JC04C,1251,43,490,251,0,784,784,
239,Fulton,JC05,2350,125,858,352,4,1339,1339,
240,Fulton,JC06,2840,192,766,458,4,1420,1420,
241,Fulton,JC07,4670,169,1567,898,23,2657,2657,
242,Fulton,JC08,2931,129,1074,498,4,1705,1705,
243,Fulton,JC09,3250,183,1114,543,3,1843,1843,
