index,County,Precinct,Registered Voters,Khadijah Abdur-Rahman (Dem)_Election Day Votes,Khadijah Abdur-Rahman (Dem)_Advanced Voting Votes,Khadijah Abdur-Rahman (Dem)_Absentee by Mail Votes,Khadijah Abdur-Rahman (Dem)_Provisional Votes,Khadijah Abdur-Rahman (Dem)_Choice Total,Total,
0,Fulton,10A,3186,231,942,522,5,1700,1700,
1,Fulton,10B,3965,235,1477,833,9,2554,2554,
2,Fulton,10C,2598,137,682,315,3,1137,1137,
3,Fulton,10G,1332,98,497,224,1,820,820,
4,Fulton,10H1,439,30,149,73,13,265,265,
5,Fulton,10H2,2623,173,540,325,7,1045,1045,
6,Fulton,10I,331,12,156,89,0,257,257,
7,Fulton,10R,928,96,196,82,9,383,383,
8,Fulton,11C,3149,159,1340,555,3,2057,2057,
9,Fulton,CH01,376,13,116,41,4,174,174,
10,Fulton,CH02,338,33,74,43,0,150,150,
11,Fulton,CH03,410,25,90,33,0,148,148,
12,Fulton,CH04A,825,36,265,100,0,401,401,
13,Fulton,CH05,429,26,75,43,0,144,144,
14,Fulton,CP011,1353,93,398,157,5,653,653,
15,Fulton,CP012,1469,83,524,206,5,818,818,
16,Fulton,CP01B,422,19,137,48,0,204,204,
17,Fulton,CP02,1208,74,356,163,1,594,594,
18,Fulton,CP04A,13,0,3,0,0,3,3,
19,Fulton,CP04B,38,1,4,8,0,13,13,
20,Fulton,CP051,1756,147,533,241,0,921,921,
21,Fulton,CP05B,153,20,38,9,4,71,71,
22,Fulton,CP06A,732,49,126,38,0,213,213,
23,Fulton,CP07B,7,2,2,0,0,4,4,
24,Fulton,CP07D,790,65,126,37,0,228,228,
25,Fulton,CP07F,266,22,35,6,0,63,63,
26,Fulton,CP081,373,34,54,15,5,108,108,
27,Fulton,CP083,240,11,19,3,0,33,33,
28,Fulton,CP084,1,0,0,0,0,0,0,
29,Fulton,CP08A,756,64,86,26,0,176,176,
30,Fulton,EP02A,2407,161,543,304,21,1029,1029,
31,Fulton,EP02C,522,17,190,64,0,271,271,
32,Fulton,FA01A,4032,240,1446,596,15,2297,2297,
33,Fulton,FA01B,5860,29,2291,847,8,3175,3175,
34,Fulton,FA01C,769,62,289,106,1,458,458,
35,Fulton,FA01D,321,19,121,8,15,163,163,
36,Fulton,FC01,325,21,129,25,2,177,177,
37,Fulton,FC02,585,14,28,8,2,52,52,
38,Fulton,FC03,17,1,8,0,7,16,16,
39,Fulton,HP01,3824,325,978,452,5,1760,1760,
40,Fulton,PA01,3006,205,924,361,14,1504,1504,
41,Fulton,SC01A,41,2,38,7,0,47,47,
42,Fulton,SC01B,2088,124,1125,294,10,1553,1553,
43,Fulton,SC01C,2249,85,1040,448,1,1574,1574,
44,Fulton,SC02,1426,42,718,251,2,1013,1013,
45,Fulton,SC04,1080,79,344,152,2,577,577,
46,Fulton,SC05A,721,58,322,85,4,469,469,
47,Fulton,SC05D,2808,184,1298,348,2,1832,1832,
48,Fulton,SC05E,688,45,253,126,3,427,427,
49,Fulton,SC07A,4506,244,1869,1013,10,3136,3136,
50,Fulton,SC07C,41,1,9,3,0,13,13,
51,Fulton,SC07D,2038,136,860,89,3,1088,1088,
52,Fulton,SC08B,4096,277,1540,636,11,2464,2464,
53,Fulton,SC08D,605,40,231,80,0,351,351,
54,Fulton,SC08E,724,59,302,64,3,428,428,
55,Fulton,SC08G,14,0,3,0,0,3,3,
56,Fulton,SC08H,1,0,0,0,0,0,0,
57,Fulton,SC09A,1865,179,534,225,4,942,942,
58,Fulton,SC09B,1920,128,720,355,2,1205,1205,
59,Fulton,SC09C,1852,182,530,290,0,1002,1002,
60,Fulton,SC10,1912,156,420,186,5,767,767,
61,Fulton,SC11A,1656,148,532,261,22,963,963,
62,Fulton,SC11B,1691,114,546,309,0,969,969,
63,Fulton,SC13,2895,167,1343,414,1,1925,1925,
64,Fulton,SC14A,1030,67,323,97,0,487,487,
65,Fulton,SC15,4522,279,1997,805,6,3087,3087,
66,Fulton,SC15A,2482,136,1299,103,0,1538,1538,
67,Fulton,SC16A,5175,290,2453,849,0,3592,3592,
68,Fulton,SC211,1828,101,834,294,0,1229,1229,
69,Fulton,SC212,4244,261,1728,603,9,2601,2601,
70,Fulton,SC23A,3854,341,1127,630,10,2108,2108,
71,Fulton,SC23B,558,56,167,110,2,335,335,
72,Fulton,SC23C,2606,208,865,393,2,1468,1468,
73,Fulton,SC27,2361,152,722,459,0,1333,1333,
74,Fulton,SC29A,3154,270,950,538,9,1767,1767,
75,Fulton,SC30A,157,5,43,58,5,111,111,
76,Fulton,SC30B,1110,61,356,151,0,568,568,
77,Fulton,UC01A,4234,335,1228,335,12,1910,1910,
78,Fulton,UC01B,428,39,142,29,4,214,214,
79,Fulton,UC02A,5609,328,2183,1131,18,3660,3660,
80,Fulton,UC02B,32,2,11,3,0,16,16,
81,Fulton,UC02C,3614,150,1237,131,14,1532,1532,
82,Fulton,UC031,2745,157,664,438,24,1283,1283,
83,Fulton,UC032,393,21,138,76,1,236,236,
