index,County,Precinct,Registered Voters,Garry Guan (Rep)_Election Day Votes,Garry Guan (Rep)_Advanced Voting Votes,Garry Guan (Rep)_Absentee by Mail Votes,Garry Guan (Rep)_Provisional Votes,Garry Guan (Rep)_Choice Total,Sally Harrell (I) (Dem)_Election Day Votes,Sally Harrell (I) (Dem)_Advanced Voting Votes,Sally Harrell (I) (Dem)_Absentee by Mail Votes,Sally Harrell (I) (Dem)_Provisional Votes,Sally Harrell (I) (Dem)_Choice Total,Total,
0,Fulton,SS01,4846,238,1331,542,1,2112,65,881,735,4,1685,3797,
1,Fulton,SS17,3686,190,768,313,6,1277,149,759,477,9,1394,2671,
