index,County,Precinct,Registered Voters,David Callahan (Rep)_Election Day Votes,David Callahan (Rep)_Advanced Voting Votes,David Callahan (Rep)_Absentee by Mail Votes,David Callahan (Rep)_Provisional Votes,David Callahan (Rep)_Choice Total,Debra Bazemore (I) (Dem)_Election Day Votes,Debra Bazemore (I) (Dem)_Advanced Voting Votes,Debra Bazemore (I) (Dem)_Absentee by Mail Votes,Debra Bazemore (I) (Dem)_Provisional Votes,Debra Bazemore (I) (Dem)_Choice Total,Total,
0,Fulton,CP05B,153,1,2,1,1,5,19,37,9,3,68,73,
1,Fulton,CP06A,732,4,7,1,0,12,49,126,38,0,213,225,
2,Fulton,CP07B,7,0,1,0,0,1,2,1,0,0,3,4,
3,Fulton,CP081,373,4,2,0,0,6,31,54,15,5,105,111,
4,Fulton,CP083,240,2,0,0,0,2,11,19,3,0,33,35,
5,Fulton,CP084,1,0,0,0,0,0,0,0,0,0,0,0,
6,Fulton,CP08A,756,9,4,0,0,13,57,81,28,0,166,179,
7,Fulton,SC08D,605,0,3,4,0,7,39,231,76,0,346,353,
8,Fulton,SC09A,1865,11,23,10,0,44,170,524,222,2,918,962,
9,Fulton,SC09C,1852,16,26,8,0,50,172,524,292,0,988,1038,
10,Fulton,SC10,1912,11,18,10,0,39,151,417,179,3,750,789,
11,Fulton,SC11A,1656,8,17,8,0,33,141,533,262,16,952,985,
12,Fulton,SC23A,3854,30,33,16,0,79,314,1121,634,11,2080,2159,
13,Fulton,SC23C,2606,20,30,9,0,59,198,871,393,2,1464,1523,
14,Fulton,SC27,2361,10,25,13,0,48,145,719,464,0,1328,1376,
15,Fulton,UC01B,428,1,4,0,2,7,37,138,31,4,210,217,
