index,County,Precinct,Registered Voters,David Dreyer (I) (Dem)_Election Day Votes,David Dreyer (I) (Dem)_Advanced Voting Votes,David Dreyer (I) (Dem)_Absentee by Mail Votes,David Dreyer (I) (Dem)_Provisional Votes,David Dreyer (I) (Dem)_Choice Total,Total,
0,Fulton,01A,3694,171,1702,706,22,2601,2601,
1,Fulton,01B,4327,266,1851,880,5,3002,3002,
2,Fulton,01C,1908,194,376,159,0,729,729,
3,Fulton,01E,3720,115,1576,756,0,2447,2447,
4,Fulton,01G,2312,138,745,281,1,1165,1165,
5,Fulton,01J,2848,230,724,323,12,1289,1289,
6,Fulton,01P,1444,204,219,165,4,592,592,
7,Fulton,01R,1550,211,144,119,7,481,481,
8,Fulton,01T,1799,175,452,175,1,803,803,
9,Fulton,02E,2009,107,900,459,0,1466,1466,
10,Fulton,02F1,3221,114,1299,704,6,2123,2123,
11,Fulton,05A2,3343,142,1453,603,4,2202,2202,
12,Fulton,12E1,1906,119,297,239,3,658,658,
13,Fulton,12F,1229,111,298,89,1,499,499,
14,Fulton,12G,885,54,175,176,1,406,406,
15,Fulton,12H1,1170,97,173,75,8,353,353,
16,Fulton,EP02A,2407,163,546,304,19,1032,1032,
17,Fulton,EP02B,1679,92,631,287,1,1011,1011,
18,Fulton,HP01,3824,330,995,468,5,1798,1798,
