index,County,Precinct,Registered Voters,Kay Kirkpatrick (I) (Rep)_Election Day Votes,Kay Kirkpatrick (I) (Rep)_Advanced Voting Votes,Kay Kirkpatrick (I) (Rep)_Absentee by Mail Votes,Kay Kirkpatrick (I) (Rep)_Provisional Votes,Kay Kirkpatrick (I) (Rep)_Choice Total,Christine Triebsch (Dem)_Election Day Votes,Christine Triebsch (Dem)_Advanced Voting Votes,Christine Triebsch (Dem)_Absentee by Mail Votes,Christine Triebsch (Dem)_Provisional Votes,Christine Triebsch (Dem)_Choice Total,Total,
0,Fulton,SS02B,1318,33,161,63,4,261,45,395,178,2,620,881,
1,Fulton,SS03,1577,80,346,128,3,557,38,396,210,1,645,1202,
2,Fulton,SS04,3763,150,571,251,7,979,129,991,525,5,1650,2629,
3,Fulton,SS05,1853,108,498,207,0,813,26,420,290,0,736,1549,
4,Fulton,SS09A,3193,180,857,464,0,1501,48,534,468,0,1050,2551,
5,Fulton,SS16,2116,99,617,290,4,1010,24,363,324,2,713,1723,
6,Fulton,SS18A,657,42,171,74,0,287,9,136,105,0,250,537,
7,Fulton,SS18B,241,14,60,23,1,98,2,49,41,0,92,190,
8,Fulton,SS29A,2842,137,465,225,5,832,81,722,377,2,1182,2014,
