index,County,Precinct,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total,
0,Fulton,01A,3694,174,1699,705,24,2602,2602,
1,Fulton,01B,4327,262,1864,857,5,2988,2988,
2,Fulton,01C,1908,194,375,160,0,729,729,
3,Fulton,01D,754,26,281,114,7,428,428,
4,Fulton,01E,3720,119,1581,747,1,2448,2448,
5,Fulton,01F,1593,119,255,102,7,483,483,
6,Fulton,01G,2312,141,748,280,4,1173,1173,
7,Fulton,01H,896,66,209,119,6,400,400,
8,Fulton,01I,0,0,1,0,0,1,1,
9,Fulton,01J,2848,229,728,326,17,1300,1300,
10,Fulton,01P,1444,208,222,168,4,602,602,
11,Fulton,01R,1550,207,145,122,12,486,486,
12,Fulton,01S,2118,237,471,204,8,920,920,
13,Fulton,01T,1799,178,468,184,4,834,834,
14,Fulton,02A,4884,181,1898,1051,20,3150,3150,
15,Fulton,02A1,733,29,309,50,2,390,390,
16,Fulton,02B,4020,177,806,285,28,1296,1296,
17,Fulton,02C,2034,84,712,383,30,1209,1209,
18,Fulton,02D,5539,277,1976,1053,30,3336,3336,
19,Fulton,02E,2009,102,901,444,0,1447,1447,
20,Fulton,02F1,3221,115,1294,692,6,2107,2107,
21,Fulton,02F2,851,48,268,134,4,454,454,
22,Fulton,02G,3895,207,1644,726,6,2583,2583,
23,Fulton,02J,2273,102,899,417,9,1427,1427,
24,Fulton,02K,1461,47,608,279,0,934,934,
25,Fulton,02L1,5546,210,2150,1251,11,3622,3622,
26,Fulton,02L1A,1477,82,561,79,6,728,728,
27,Fulton,02L2,2249,130,861,357,5,1353,1353,
28,Fulton,02S,790,46,282,133,0,461,461,
29,Fulton,02W,978,60,400,123,0,583,583,
30,Fulton,03A,2230,144,386,219,18,767,767,
31,Fulton,03B,777,55,99,61,0,215,215,
32,Fulton,03C,1879,140,348,228,7,723,723,
33,Fulton,03D,1235,88,218,105,22,433,433,
34,Fulton,03E,2894,298,480,207,44,1029,1029,
35,Fulton,03F,2328,139,821,335,4,1299,1299,
36,Fulton,03G,1033,78,150,41,3,272,272,
37,Fulton,03H,1091,87,221,95,0,403,403,
38,Fulton,03I,1607,104,336,109,19,568,568,
39,Fulton,03L,748,65,94,43,0,202,202,
40,Fulton,03M,965,161,242,83,2,488,488,
41,Fulton,03N,2804,225,471,154,23,873,873,
42,Fulton,03P1A,4404,272,1395,510,13,2190,2190,
43,Fulton,03P2,23,0,7,0,0,7,7,
44,Fulton,03S,908,97,203,103,0,403,403,
45,Fulton,03T,1742,146,499,128,5,778,778,
46,Fulton,04A,1554,98,317,157,0,572,572,
47,Fulton,04B,2948,127,406,210,0,743,743,
48,Fulton,04C,150,11,27,12,1,51,51,
49,Fulton,04D,1736,155,454,187,5,801,801,
50,Fulton,04F,2786,189,779,205,11,1184,1184,
51,Fulton,04G,1025,116,192,82,1,391,391,
52,Fulton,04I,4604,76,457,173,7,713,713,
53,Fulton,04J,1617,45,110,16,11,182,182,
