index,County,Precinct,Registered Voters,"Cathelene """"Tina"""" Robinson (I) (Dem)_Election Day Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Advanced Voting Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Absentee by Mail Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Provisional Votes","Cathelene """"Tina"""" Robinson (I) (Dem)_Choice Total",Total,
0,Fulton,01A,3694,171,1682,682,23,2558,2558,
1,Fulton,01B,4327,261,1828,834,4,2927,2927,
2,Fulton,01C,1908,189,368,158,0,715,715,
3,Fulton,01D,754,24,282,108,7,421,421,
4,Fulton,01E,3720,117,1563,726,1,2407,2407,
5,Fulton,01F,1593,118,248,101,6,473,473,
6,Fulton,01G,2312,139,742,276,3,1160,1160,
7,Fulton,01H,896,63,206,117,5,391,391,
8,Fulton,01I,0,0,1,0,0,1,1,
9,Fulton,01J,2848,230,709,317,16,1272,1272,
10,Fulton,01P,1444,200,218,165,4,587,587,
11,Fulton,01R,1550,206,142,120,12,480,480,
12,Fulton,01S,2118,233,468,202,7,910,910,
13,Fulton,01T,1799,173,463,177,4,817,817,
14,Fulton,02A,4884,182,1871,1029,19,3101,3101,
15,Fulton,02A1,733,31,304,49,2,386,386,
16,Fulton,02B,4020,171,788,282,25,1266,1266,
17,Fulton,02C,2034,84,703,376,29,1192,1192,
18,Fulton,02D,5539,271,1948,1033,26,3278,3278,
19,Fulton,02E,2009,105,889,434,0,1428,1428,
20,Fulton,02F1,3221,115,1287,667,6,2075,2075,
21,Fulton,02F2,851,48,264,132,4,448,448,
22,Fulton,02G,3895,204,1624,715,6,2549,2549,
23,Fulton,02J,2273,103,889,403,9,1404,1404,
24,Fulton,02K,1461,45,601,273,0,919,919,
25,Fulton,02L1,5546,202,2108,1234,10,3554,3554,
26,Fulton,02L1A,1477,80,556,78,5,719,719,
27,Fulton,02L2,2249,130,854,351,5,1340,1340,
28,Fulton,02S,790,44,281,130,0,455,455,
29,Fulton,02W,978,59,399,122,0,580,580,
30,Fulton,03A,2230,135,378,215,16,744,744,
31,Fulton,03B,777,54,97,60,0,211,211,
32,Fulton,03C,1879,134,335,222,6,697,697,
33,Fulton,03D,1235,85,213,98,17,413,413,
34,Fulton,03E,2894,300,477,209,41,1027,1027,
35,Fulton,03F,2328,131,813,327,3,1274,1274,
36,Fulton,03G,1033,77,150,44,4,275,275,
37,Fulton,03H,1091,86,222,97,0,405,405,
38,Fulton,03I,1607,104,334,105,19,562,562,
39,Fulton,03L,748,65,94,41,0,200,200,
40,Fulton,03M,965,158,241,81,2,482,482,
41,Fulton,03N,2804,227,457,149,22,855,855,
42,Fulton,03P1A,4404,270,1382,503,10,2165,2165,
43,Fulton,03P2,23,0,7,0,0,7,7,
44,Fulton,03S,908,94,204,101,0,399,399,
45,Fulton,03T,1742,144,490,125,4,763,763,
46,Fulton,04A,1554,97,317,159,0,573,573,
47,Fulton,04B,2948,123,408,199,0,730,730,
48,Fulton,04C,150,11,27,12,1,51,51,
49,Fulton,04D,1736,154,439,186,4,783,783,
50,Fulton,04F,2786,190,767,196,11,1164,1164,
51,Fulton,04G,1025,119,184,80,1,384,384,
52,Fulton,04I,4604,74,451,171,6,702,702,
53,Fulton,04J,1617,46,110,14,8,178,178,
54,Fulton,04K,2736,189,699,349,14,1251,1251,
55,Fulton,04L,2014,169,549,186,5,909,909,
56,Fulton,04M,979,100,149,67,5,321,321,
57,Fulton,04S,2541,257,606,298,7,1168,1168,
58,Fulton,04T,1297,126,344,152,18,640,640,
59,Fulton,04V,3573,362,695,225,3,1285,1285,
60,Fulton,04W,3365,57,128,27,6,218,218,
61,Fulton,04X1,2283,162,593,260,2,1017,1017,
62,Fulton,04X2,846,58,235,93,0,386,386,
63,Fulton,05A1,2936,137,1268,590,0,1995,1995,
64,Fulton,05A2,3343,142,1439,589,10,2180,2180,
65,Fulton,05B,2171,169,605,253,3,1030,1030,
66,Fulton,05C,135,6,27,7,0,40,40,
67,Fulton,05D,541,20,58,9,2,89,89,
68,Fulton,05F,248,23,86,24,0,133,133,
69,Fulton,05J,684,38,268,118,1,425,425,
70,Fulton,05K,2826,150,710,267,5,1132,1132,
71,Fulton,06B,1889,89,769,362,7,1227,1227,
72,Fulton,06D,6160,316,2172,1896,11,4395,4395,
73,Fulton,06D1,2539,69,982,153,4,1208,1208,
74,Fulton,06D2,850,22,322,49,1,394,394,
75,Fulton,06E,2344,109,863,382,2,1356,1356,
76,Fulton,06F,2841,116,1145,481,5,1747,1747,
77,Fulton,06G,588,18,218,121,1,358,358,
78,Fulton,06I,4072,296,1420,528,21,2265,2265,
79,Fulton,06J,2770,95,1038,691,1,1825,1825,
80,Fulton,06L1,991,36,370,212,2,620,620,
81,Fulton,06L2,726,24,255,127,1,407,407,
82,Fulton,06N,1770,76,514,281,8,879,879,
83,Fulton,06Q,571,47,211,61,6,325,325,
84,Fulton,06R,2015,60,688,355,2,1105,1105,
85,Fulton,07A,7691,484,2344,1191,17,4036,4036,
86,Fulton,07B,2952,138,927,553,1,1619,1619,
87,Fulton,07C,4512,213,1184,897,11,2305,2305,
88,Fulton,07D,4879,289,1575,604,20,2488,2488,
89,Fulton,07E,2247,66,751,535,5,1357,1357,
90,Fulton,07F,3790,194,1270,606,20,2090,2090,
91,Fulton,07H,2060,89,681,401,0,1171,1171,
92,Fulton,07J,3041,170,1037,490,10,1707,1707,
93,Fulton,07M,2401,144,664,381,0,1189,1189,
94,Fulton,07N,2139,132,647,353,9,1141,1141,
95,Fulton,08A,3084,185,1038,442,7,1672,1672,
96,Fulton,08B,3498,147,1246,536,0,1929,1929,
97,Fulton,08C,1500,58,500,236,0,794,794,
98,Fulton,08D,1073,21,355,180,13,569,569,
99,Fulton,08E,2568,90,793,476,0,1359,1359,
100,Fulton,08F1,2187,87,769,354,4,1214,1214,
101,Fulton,08G,3086,146,744,527,5,1422,1422,
102,Fulton,08H,2556,80,780,478,2,1340,1340,
103,Fulton,08J,3344,150,1303,428,6,1887,1887,
104,Fulton,08K,1049,73,384,203,0,660,660,
105,Fulton,08L,4505,222,1558,779,19,2578,2578,
106,Fulton,08M,2295,127,739,315,4,1185,1185,
107,Fulton,08N1,824,24,261,132,2,419,419,
108,Fulton,08N2,1616,65,504,308,2,879,879,
109,Fulton,08P,1887,116,638,214,6,974,974,
110,Fulton,09A,3856,193,1541,567,8,2309,2309,
111,Fulton,09B,464,29,77,66,0,172,172,
112,Fulton,09C,3353,258,851,449,22,1580,1580,
113,Fulton,09D,2299,220,425,273,8,926,926,
114,Fulton,09E,3261,262,937,309,1,1509,1509,
115,Fulton,09F,3917,167,1460,639,4,2270,2270,
116,Fulton,09G,3943,232,1511,609,9,2361,2361,
117,Fulton,09H,1185,77,412,150,1,640,640,
118,Fulton,09I,1397,134,249,173,2,558,558,
119,Fulton,09K,4002,257,848,450,11,1566,1566,
120,Fulton,09K1,1518,109,312,38,1,460,460,
121,Fulton,09M,2578,99,1202,333,0,1634,1634,
122,Fulton,10A,3186,231,923,514,14,1682,1682,
123,Fulton,10B,3965,226,1464,841,7,2538,2538,
124,Fulton,10C,2598,135,676,305,10,1126,1126,
125,Fulton,10D,4968,308,1107,533,133,2081,2081,
126,Fulton,10E,1084,91,302,178,3,574,574,
127,Fulton,10F,1208,114,297,193,9,613,613,
128,Fulton,10G,1332,95,499,226,2,822,822,
129,Fulton,10H1,439,30,147,74,13,264,264,
130,Fulton,10H2,2623,173,534,327,10,1044,1044,
131,Fulton,10I,331,12,157,86,0,255,255,
132,Fulton,10J,1238,144,183,124,14,465,465,
133,Fulton,10K,1614,106,546,294,5,951,951,
134,Fulton,10M,2880,241,851,402,12,1506,1506,
135,Fulton,10P,1607,146,326,224,3,699,699,
