index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Fulton,01A,3694,165,1570,685,16,2436,37,195,65,4,301,2737,
1,Fulton,01B,4327,258,1763,836,3,2860,53,192,88,2,335,3195,
2,Fulton,01C,1908,134,311,135,0,580,67,63,30,0,160,740,
3,Fulton,01D,754,26,261,111,8,406,4,30,12,0,46,452,
4,Fulton,01E,3720,115,1496,750,1,2362,21,190,71,0,282,2644,
5,Fulton,01F,1593,93,212,88,4,397,32,55,16,2,105,502,
6,Fulton,01G,2312,108,664,241,2,1015,34,103,49,2,188,1203,
7,Fulton,01H,896,49,157,99,3,308,18,48,20,3,89,397,
8,Fulton,01I,0,0,1,0,0,1,0,0,0,0,0,1,
9,Fulton,01J,2848,167,582,256,10,1015,68,165,63,6,302,1317,
10,Fulton,01P,1444,154,178,133,4,469,61,43,37,0,141,610,
11,Fulton,01R,1550,144,103,86,9,342,64,44,35,4,147,489,
12,Fulton,01S,2118,177,358,161,6,702,66,125,41,1,233,935,
13,Fulton,01T,1799,151,423,159,3,736,36,63,29,1,129,865,
14,Fulton,02A,4884,192,1805,1086,16,3099,26,261,101,5,393,3492,
15,Fulton,02A1,733,33,291,49,2,375,5,33,1,1,40,415,
16,Fulton,02B,4020,151,731,267,21,1170,43,117,36,8,204,1374,
17,Fulton,02C,2034,75,648,341,24,1088,17,90,49,11,167,1255,
18,Fulton,02D,5539,240,1847,985,25,3097,57,234,110,11,412,3509,
19,Fulton,02E,2009,111,852,438,0,1401,17,96,28,0,141,1542,
20,Fulton,02F1,3221,110,1264,711,5,2090,24,115,52,0,191,2281,
21,Fulton,02F2,851,47,241,126,4,418,11,38,10,1,60,478,
22,Fulton,02G,3895,203,1595,716,4,2518,36,158,65,2,261,2779,
23,Fulton,02J,2273,100,871,429,7,1407,20,86,38,4,148,1555,
24,Fulton,02K,1461,55,593,275,0,923,8,58,23,0,89,1012,
25,Fulton,02L1,5546,222,2025,1251,9,3507,36,260,132,4,432,3939,
26,Fulton,02L1A,1477,77,548,88,4,717,15,56,5,2,78,795,
27,Fulton,02L2,2249,127,836,348,5,1316,18,102,38,1,159,1475,
28,Fulton,02S,790,40,253,123,0,416,12,34,13,0,59,475,
29,Fulton,02W,978,59,376,120,0,555,7,43,14,0,64,619,
30,Fulton,03A,2230,105,308,173,10,596,37,79,50,11,177,773,
31,Fulton,03B,777,45,86,43,0,174,13,17,14,0,44,218,
32,Fulton,03C,1879,107,262,168,4,541,32,79,57,3,171,712,
33,Fulton,03D,1235,60,180,87,15,342,27,44,20,6,97,439,
34,Fulton,03E,2894,218,394,166,26,804,85,103,49,11,248,1052,
35,Fulton,03F,2328,123,787,348,3,1261,30,119,29,0,178,1439,
36,Fulton,03G,1033,63,126,35,2,226,17,26,9,2,54,280,
37,Fulton,03H,1091,64,178,73,0,315,23,44,20,1,88,403,
38,Fulton,03I,1607,99,334,112,18,563,12,28,11,2,53,616,
39,Fulton,03L,748,50,69,28,0,147,19,25,15,0,59,206,
40,Fulton,03M,965,145,234,79,1,459,36,26,13,1,76,535,
41,Fulton,03N,2804,165,391,128,16,700,67,78,24,8,177,877,
42,Fulton,03P1A,4404,255,1301,518,6,2080,40,169,48,5,262,2342,
43,Fulton,03P2,23,0,6,0,0,6,0,1,0,0,1,7,
44,Fulton,03S,908,67,147,77,0,291,31,52,23,0,106,397,
45,Fulton,03T,1742,116,402,108,6,632,36,98,27,0,161,793,
46,Fulton,04A,1554,77,250,129,0,456,23,71,31,0,125,581,
47,Fulton,04B,2948,101,342,171,0,614,24,83,29,0,136,750,
48,Fulton,04C,150,6,23,9,1,39,5,4,3,0,12,51,
49,Fulton,04D,1736,116,376,164,3,659,46,81,26,2,155,814,
50,Fulton,04F,2786,155,667,182,8,1012,50,132,29,3,214,1226,
51,Fulton,04G,1025,88,143,54,1,286,27,44,28,0,99,385,
52,Fulton,04I,4604,71,399,158,3,631,13,76,24,4,117,748,
53,Fulton,04J,1617,38,88,19,7,152,9,22,0,3,34,186,
54,Fulton,04K,2736,159,582,294,9,1044,44,127,63,5,239,1283,
55,Fulton,04L,2014,148,472,169,4,793,28,98,32,1,159,952,
56,Fulton,04M,979,74,128,52,3,257,28,26,16,2,72,329,
57,Fulton,04S,2541,200,467,229,5,901,69,140,61,4,274,1175,
58,Fulton,04T,1297,90,278,127,14,509,39,65,28,5,137,646,
59,Fulton,04V,3573,268,541,174,2,985,107,166,48,2,323,1308,
60,Fulton,04W,3365,50,106,27,7,190,6,26,1,0,33,223,
61,Fulton,04X1,2283,125,491,207,2,825,45,115,54,0,214,1039,
62,Fulton,04X2,846,42,195,85,0,322,17,46,14,0,77,399,
63,Fulton,05A1,2936,120,1219,578,2,1919,31,114,61,0,206,2125,
64,Fulton,05A2,3343,128,1372,579,10,2089,32,149,47,2,230,2319,
65,Fulton,05B,2171,130,532,226,2,890,47,93,37,1,178,1068,
66,Fulton,05C,135,4,24,5,0,33,3,5,3,0,11,44,
