index,County,Precinct,Registered Voters,Derrick L. Jackson (I) (Dem)_Election Day Votes,Derrick L. Jackson (I) (Dem)_Advanced Voting Votes,Derrick L. Jackson (I) (Dem)_Absentee by Mail Votes,Derrick L. Jackson (I) (Dem)_Provisional Votes,Derrick L. Jackson (I) (Dem)_Choice Total,Total,
0,Fulton,CP051,1756,147,532,244,0,923,923,
1,Fulton,CP07C,323,18,46,10,0,74,74,
2,Fulton,CP07D,790,63,129,38,0,230,230,
3,Fulton,CP07E,127,18,19,2,0,39,39,
4,Fulton,CP07F,266,23,37,5,0,65,65,
5,Fulton,FA01C,769,61,290,105,1,457,457,
6,Fulton,SC08B,4096,277,1536,638,9,2460,2460,
7,Fulton,SC08E,724,59,305,62,4,430,430,
8,Fulton,SC09B,1920,121,726,356,1,1204,1204,
9,Fulton,SC11B,1691,117,542,303,2,964,964,
10,Fulton,SC17C,1293,76,494,180,0,750,750,
11,Fulton,SC19B,1628,139,426,211,10,786,786,
12,Fulton,SC211,1828,102,834,293,0,1229,1229,
13,Fulton,SC212,4244,263,1736,613,10,2622,2622,
14,Fulton,SC23B,558,56,166,110,2,334,334,
15,Fulton,SC29A,3154,276,958,547,9,1790,1790,
16,Fulton,UC031,2745,158,670,449,22,1299,1299,
17,Fulton,UC032,393,21,136,75,0,232,232,
